,gene,highly_variable_rank
0,HES4,96.0
1,ISG15,148.0
2,AGRN,417.0
3,PARK7,346.0
4,ERRFI1,205.0
5,ENO1,200.0
6,H6PD,310.0
7,PLOD1,366.0
8,TNFRSF1B,424.0
9,DHRS3,222.0
10,FBLIM1,351.0
11,MICOS10,359.0
12,DDOST,233.0
13,HSPG2,189.5
14,C1QA,151.0
15,C1QC,176.0
16,C1QB,53.0
17,ID3,246.0
18,CLIC4,60.5
19,RSRP1,419.0
20,TMEM50A,315.0
21,SH3BGRL3,238.0
22,CD52,87.0
23,IFI6,113.5
24,ATP5IF1,276.0
25,EPB41,278.0
26,LAPTM5,232.0
27,PUM1,400.0
28,SERINC2,201.0
29,TINAGL1,352.0
30,COL16A1,163.5
31,EIF3I,423.5
32,KIAA1522,382.0
33,NDUFS5,340.0
34,MACF1,240.0
35,ZMPSTE24,364.0
36,SMAP2,227.0
37,CITED4,423.0
38,SLC2A1,306.0
39,PIK3R3,368.0
40,LRRC41,106.0
41,PDZK1IP1,159.0
42,SSBP3,281.0
43,PATJ,316.5
44,GADD45A,239.0
45,IFI44L,245.5
46,IFI44,294.0
47,CCN1,92.5
48,SELENOF,362.0
49,GBP1,206.5
50,GBP2,334.0
51,GBP4,302.0
52,CNN3,329.0
53,VCAM1,432.5
54,S1PR1,381.0
55,VAV3,413.0
56,CD53,207.0
57,C1orf162,281.0
58,NRAS,334.0
59,ATP1A1,176.0
60,PTGFRN,362.5
61,TXNIP,385.5
62,HIST2H2AB,218.0
63,ANP32E,199.0
64,MCL1,333.0
65,CTSS,134.0
66,CTSK,353.5
67,CERS2,308.0
68,CDC42SE1,190.5
69,S100A10,309.0
70,S100A11,295.0
71,S100A9,133.0
72,S100A8,101.5
73,S100A6,336.5
74,ILF2,392.0
75,INTS3,210.0
76,ATP8B2,380.5
77,IL6R,396.5
78,SHC1,285.0
79,EFNA1,325.0
80,MUC1,138.0
81,RIT1,179.0
82,IFI16,292.0
83,TAGLN2,370.0
84,ADAMTS4,231.5
85,FCER1G,121.5
86,FCGR3A,226.0
87,OLFML2B,374.0
88,RGS5,55.0
89,CREG1,416.5
90,MPC2,243.0
91,ATP1B1,176.0
92,PRDX6,216.0
93,RABGAP1L,356.5
94,KIAA0040,419.0
95,NPL,280.0
96,IVNS1ABP,306.0
97,RGS1,216.0
98,CFH,220.0
99,PTPRC,100.0
100,TMEM9,368.0
101,PPP1R12B,353.5
102,BTG2,279.0
103,PPP1R15B,427.0
104,CDK18,213.0
105,CD55,384.0
106,CD34,375.5
107,ATF3,198.0
108,TP53BP2,362.0
109,DEGS1,26.0
110,COQ8A,388.5
111,C1orf198,283.5
112,SCCPDH,318.5
113,SH3YL1,270.0
114,ACP1,325.0
115,ODC1,299.0
116,LPIN1,227.0
117,DDX1,381.0
118,LAPTM4A,327.5
119,SDC1,235.0
120,RHOB,269.0
121,AGBL5,409.0
122,EMILIN1,349.5
123,GALNT14,335.0
124,DPY30,350.5
125,LTBP1,208.0
126,CRIM1,110.0
127,CYP1B1,159.0
128,SRSF7,315.0
129,SLC8A1,107.0
130,ZFP36L2,140.0
131,EPAS1,203.0
132,SPTBN1,357.0
133,MDH1,376.0
134,ANTXR1,393.0
135,ANXA4,152.0
136,FAM136A,311.0
137,STAMBP,259.0
138,MAT2A,347.0
139,IGKC,2.0
140,INPP4A,410.0
141,BCL2L11,64.0
142,SLC20A1,252.0
143,PAX8,264.0
144,DBI,372.0
145,BIN1,288.0
146,PLEKHB2,330.0
147,MGAT5,339.0
148,CXCR4,354.0
149,CYTIP,382.5
150,CD302,378.0
151,ITGB6,53.5
152,STK39,148.0
153,CYBRD1,274.0
154,ITGA6,385.5
155,WIPF1,260.0
156,ATP5MC3,383.5
157,NFE2L2,356.0
158,ITGA4,324.0
159,COL3A1,134.0
160,COL5A2,394.0
161,SLC40A1,115.0
162,GLS,228.0
163,STAT1,180.5
164,CAVIN2,310.0
165,SPATS2L,389.0
166,STRADB,222.0
167,BMPR2,395.0
168,NRP2,427.0
169,FN1,112.0
170,IGFBP2,402.0
171,IGFBP5,98.0
172,TNS1,323.0
173,SLC11A1,316.5
174,TUBA4A,370.0
175,ITM2C,391.5
176,COL6A3,110.0
177,EDEM1,263.0
178,ARPC4,403.0
179,PPARG,67.0
180,FBLN2,113.5
181,SH3BP5,381.5
182,SLC4A7,270.0
183,CMC1,403.0
184,TGFBR2,198.0
185,TRAK1,161.0
186,LAMB2,169.0
187,RBM5,318.0
188,SEMA3F,312.0
189,HYAL2,251.0
190,NISCH,428.0
191,MUSTN1,130.0
192,ARF4,383.0
193,PTPRG,307.0
194,PROS1,192.0
195,CLDND1,287.0
196,DCBLD2,90.5
197,FILIP1L,382.5
198,TMEM45A,260.0
199,NFKBIZ,112.0
200,CD96,311.0
201,CCDC80,69.5
202,FSTL1,295.0
203,HCLS1,279.0
204,CD86,405.0
205,PARP14,269.0
206,PDIA5,404.0
207,MYLK,215.0
208,HEG1,333.5
209,H1FX,298.0
210,ACAD11,282.5
211,AMOTL2,216.0
212,PLOD2,165.0
213,CP,56.0
214,TM4SF1,199.5
215,PFN2,364.0
216,EIF2A,227.5
217,SSR3,231.5
218,CCNL1,187.0
219,SMC4,312.0
220,TNFSF10,230.5
221,KLHL6,384.5
222,ABCC5,237.0
223,ST6GAL1,170.0
224,BCL6,189.0
225,CLDN1,265.0
226,TFRC,131.5
227,ATP5ME,404.0
228,SPON2,214.5
229,SLBP,320.0
230,KIAA0232,394.0
231,FBXL5,431.0
232,LAP3,251.0
233,SOD3,95.5
