,gene,highly_variable_rank
234,SEL1L3,357.5
235,OCIAD2,390.0
236,PDGFRA,335.0
237,IGFBP7,384.5
238,PARM1,204.0
239,CXCL9,12.0
240,PTPN13,194.0
241,SPARCL1,144.0
242,SPP1,43.0
243,FAM13A,386.0
244,GPRIN3,405.0
245,CFI,418.0
246,ANK2,59.0
247,SYNPO2,25.0
248,ANXA5,387.0
249,SPRY1,233.0
250,ANKRD50,306.0
251,JADE1,252.0
252,NDUFC1,321.0
253,CPE,405.0
254,ACSL1,265.0
255,SLC25A4,302.0
256,PDLIM3,184.0
257,LPCAT1,82.0
258,MED10,227.0
259,SEMA5A,242.5
260,CMBL,118.5
261,IL7R,89.0
262,FYB1,428.0
263,DAB2,268.5
264,SELENOP,176.0
265,PARP8,176.0
266,PIK3R1,369.5
267,MAP1B,224.0
268,LHFPL2,283.0
269,VCAN,162.5
270,COX7C,63.0
271,RHOBTB3,313.0
272,GLRX,262.0
273,ATG12,388.0
274,DMXL1,313.0
275,TNFAIP8,398.5
276,HINT1,316.0
277,CDC42SE2,416.0
278,P4HA2,418.5
279,IRF1,365.0
280,SEPTIN8,402.0
281,HSPA4,400.0
282,VDAC1,170.0
283,CXCL14,102.0
284,TGFBI,103.0
285,HNRNPA0,368.0
286,BRD8,278.0
287,EGR1,44.0
288,HSPA9,354.0
289,CD14,154.0
290,NDUFA2,130.0
291,YIPF5,318.0
292,DPYSL3,361.0
293,CD74,165.0
294,GPX3,218.0
295,CCDC69,391.0
296,GM2A,251.0
297,SPARC,53.0
298,GALNT10,331.0
299,HAVCR1,173.5
300,CCNG1,328.0
301,WWC1,368.0
302,SLIT3,209.0
303,ERGIC1,273.0
304,CPEB4,236.5
305,NHP2,219.0
306,CANX,172.0
307,SQSTM1,158.0
308,TXNDC5,222.0
309,BLOC1S5,377.0
310,NEDD9,213.0
311,TDP2,211.0
312,HIST1H4A,158.5
313,HIST1H2BB,134.0
314,HIST1H4C,231.0
315,HIST1H1E,388.0
316,HIST1H2BD,350.0
317,HIST1H4D,187.0
318,HIST1H3D,182.5
319,HIST1H2AD,208.0
320,HIST1H4E,340.0
321,HIST1H2BG,102.0
322,HIST1H2AE,204.0
323,HIST1H4F,93.0
324,HIST1H2BH,79.5
325,HIST1H2BI,169.0
326,HIST1H4H,356.0
327,BTN3A1,275.0
328,HIST1H2BJ,198.0
329,HIST1H2AG,40.5
330,HIST1H4I,113.0
331,HIST1H3H,85.0
332,HIST1H2BN,286.0
333,HIST1H1B,38.5
334,HIST1H3I,183.0
335,HIST1H2BO,99.5
336,UBD,132.0
337,HLA-F,321.5
338,HLA-A,408.0
339,HLA-E,316.0
340,DDR1,432.0
341,LST1,238.5
342,AIF1,278.0
343,PRRC2A,312.0
344,HSPA1A,255.0
345,HSPA1B,142.5
346,NEU1,166.0
347,CFB,315.0
348,HLA-DRA,127.0
349,TAP2,391.0
350,PSMB9,402.0
351,TAP1,394.0
352,HLA-DMB,211.0
353,HLA-DMA,291.0
354,HLA-DPA1,115.0
355,HLA-DPB1,121.0
356,FKBP5,285.0
357,CDKN1A,224.0
358,CCDC167,398.0
359,VEGFA,402.0
360,HSP90AB1,372.0
361,TNFRSF21,379.5
362,CD2AP,408.5
363,DST,380.0
364,LMBRD1,383.0
365,HMGN3,339.0
366,CRYBG1,212.0
367,CD24,153.0
368,GTF3C6,192.0
369,FYN,409.5
370,HDDC2,334.0
371,CCN2,37.0
372,SGK1,381.0
373,HEBP2,320.5
374,CITED2,420.5
375,AIG1,233.0
376,FUCA2,365.0
377,RMND1,378.0
378,SYNE1,278.0
379,EZR,178.5
380,SOD2,225.0
381,MPC1,310.0
382,RNASET2,77.0
383,THBS2,141.0
384,C7orf50,341.0
385,IQCE,380.0
386,ACTB,409.0
387,KDELR2,405.0
388,TMEM106B,415.0
389,ITGB8,302.0
390,GPNMB,123.0
391,AQP1,176.5
392,INHBA,217.0
393,URGCP,344.0
394,AEBP1,42.0
395,YKT6,414.0
396,RAMP3,205.0
397,IGFBP3,66.0
398,IKZF1,176.0
399,VOPP1,260.0
400,CHCHD2,427.0
401,FGL2,140.5
402,CDK6,398.0
403,SAMD9L,338.0
404,TFPI2,47.0
405,GNG11,366.0
406,COL1A2,101.5
407,PON2,175.0
408,ARPC1A,379.0
409,ATP5MF,381.5
410,CYP3A5,182.0
411,PCOLCE,416.5
412,SERPINE1,79.0
413,DNAJB9,368.5
414,CAV2,426.0
415,MET,288.0
416,CTTNBP2,389.5
417,HILPDA,273.5
418,CALD1,342.0
419,ZC3HAV1,376.0
420,FMC1,366.0
421,TRBC1,67.0
422,TRBC2,59.0
423,ZYX,373.0
424,PDIA4,361.0
425,KRBA1,403.0
426,RARRES2,296.0
427,GIMAP5,433.0
428,TMEM176A,247.0
429,SLC4A2,285.0
430,GALNT11,212.0
431,PPP1R3B,324.0
432,CTSB,402.5
433,MSR1,379.0
434,ASAH1,403.5
435,ATP6V1B2,327.0
436,SORBS3,398.0
437,LOXL2,216.0
438,ENTPD4,377.0
439,STC1,289.0
440,PTK2B,309.0
441,CLU,76.0
442,RBPMS,284.0
443,GSR,329.5
444,PPP2CB,386.0
445,ADAM9,263.0
446,TCIM,397.0
447,VDAC3,288.0
448,SNAI2,364.0
449,IMPAD1,261.0
450,ASPH,342.0
451,YTHDF3,416.0
452,PREX2,135.5
453,SULF1,250.5
454,TRAM1,322.0
455,SBSPON,427.5
456,FABP5,221.5
457,PLEKHF2,144.0
458,UQCRB,159.5
459,MTDH,400.0
460,LAPTM4B,375.0
461,MATN2,317.0
462,COX6C,327.5
463,RNF19A,308.0
464,PABPC1,208.0
465,KLF10,405.5
466,CTHRC1,426.0
467,EIF3E,219.5
468,MAL2,230.0
469,ENPP2,133.0
470,FAM91A1,399.0
471,MYC,347.0
472,ASAP1,424.0
473,SLA,396.0
474,NDRG1,145.0
475,PTK2,412.5
476,PTP4A3,241.0
477,GSDMD,347.0
478,PUF60,214.0
479,PLEC,315.0
480,GRINA,328.0
481,CYC1,17.0
482,SMARCA2,325.0
483,RCL1,42.0
484,UHRF2,378.0
485,PSIP1,430.0
486,RRAGA,404.0
487,PLIN2,97.0
488,NDUFB6,215.5
489,BAG1,364.0
490,AQP3,371.0
491,TPM2,33.0
492,TLN1,251.0
493,POLR1E,390.0
494,KLF9,214.0
495,ZFAND5,358.0
496,PRUNE2,393.0
497,GNAQ,384.0
498,CTSL,405.0
499,S1PR3,269.0
500,SEMA4D,284.0
501,HABP4,405.0
502,COL15A1,374.0
503,ZNF189,234.0
504,PTGR1,274.0
505,UGCG,384.0
506,TNC,139.5
507,PTGS1,373.0
508,OLFML2A,335.0
509,HSPA5,47.0
510,ANGPTL2,410.0
511,ENG,226.5
512,ASS1,135.0
513,SURF4,347.0
514,COL5A1,216.5
515,DPP7,247.0
516,EHMT1,423.0
517,IDI1,431.0
518,NET1,307.5
519,SFMBT2,414.0
520,CELF2,350.0
521,PTER,169.0
522,VIM,159.5
523,APBB1IP,346.0
524,ABI1,378.0
525,ITGB1,411.0
526,CREM,69.0
527,CCNY,145.0
528,CXCL12,176.0
529,DEPP1,244.5
530,CISD1,173.0
531,BICC1,270.0
532,ARID5B,309.0
533,SRGN,182.0
534,DDIT4,15.0
535,P4HA1,283.0
536,ADIRF,225.0
537,ACTA2,50.0
538,PPP1R3C,428.0
539,SORBS1,90.0
540,ENTPD1,423.0
541,PGAM1,332.0
542,SCD,214.5
543,ARL3,344.0
544,PDCD4,175.0
545,ACSL5,426.5
546,PLEKHA1,360.0
547,ECHS1,313.0
548,IFITM2,197.0
549,IFITM1,356.5
550,SIGIRR,374.0
551,LSP1,214.0
552,ADM,131.0
553,DKK3,302.0
554,QSER1,413.0
555,LMO2,332.0
556,C11orf96,241.0
557,MDK,344.0
558,SPI1,423.5
559,MTCH2,218.0
560,SLC43A3,390.0
561,UBE2L6,356.0
562,SERPING1,271.5
563,CTNND1,386.5
564,MPEG1,392.5
565,MS4A6A,159.0
566,MS4A4A,372.0
567,MS4A7,338.0
568,FTH1,330.0
569,EEF1G,318.5
570,UQCC3,312.0
571,PLAAT4,412.5
572,PLAAT3,432.0
573,COX8A,397.5
574,RASGRP2,209.0
575,LTBP3,283.0
576,GRK2,327.0
577,SSH3,80.0
578,GSTP1,292.0
579,NUMA1,346.0
580,UCP2,218.0
581,SYTL2,358.0
582,PRSS23,376.0
583,CTSC,118.0
584,C11orf54,204.5
585,MTMR2,246.0
586,BIRC3,137.5
587,TMEM123,220.0
588,MMP7,71.5
589,ACAT1,176.0
590,C11orf1,321.0
591,CRYAB,134.0
592,ZBTB16,365.5
593,NNMT,230.0
594,TAGLN,25.0
595,IL10RA,343.0
596,CD3E,415.0
597,CD3D,233.0
598,SLC37A4,432.0
599,MCAM,226.0
600,ROBO4,393.0
601,ST14,226.5
602,VWF,42.0
603,CD9,132.0
604,LTBR,325.0
605,CD4,372.0
606,ATN1,185.0
607,C1S,113.0
608,C1R,327.0
609,CD163,304.0
610,SLC2A3,351.5
611,A2M,71.5
612,CLEC2D,363.0
613,CLEC7A,382.0
614,ETV6,346.0
615,EMP1,218.0
616,ATF7IP,340.0
617,H2AFJ,224.0
618,MGP,141.0
619,DERA,331.5
620,MGST1,234.0
621,PLEKHA5,180.0
622,BCAT1,429.0
623,CCDC91,331.5
624,ZCRB1,337.0
625,SLC38A1,180.0
626,SLC38A2,186.0
627,SLC48A1,391.0
628,HDAC7,347.0
629,PFKM,143.0
630,FKBP11,330.0
631,TMBIM6,116.0
632,NR4A1,87.0
633,KRT8,200.0
634,KRT18,128.5
635,TNS2,308.0
636,IGFBP6,261.0
637,PRR13,196.0
638,CBX5,153.0
639,NCKAP1L,368.0
640,DGKA,346.0
641,STAT6,348.0
642,ARHGAP9,415.0
643,MDM2,192.0
644,LYZ,55.0
645,RAB3IP,389.0
646,PTPRB,226.5
647,LUM,26.0
648,DCN,42.0
649,NUDT4,432.0
650,NDUFA12,379.0
651,TMPO,361.0
652,DRAM1,406.0
653,HSP90B1,216.0
654,C12orf75,174.0
655,GLTP,407.0
656,ALDH2,217.5
657,OAS1,346.5
658,OAS3,379.5
659,FBXO21,205.0
660,PEBP1,125.0
661,BICDL1,385.0
662,COX6A1,134.0
663,MLEC,273.5
664,SCARB1,183.5
665,SLC15A4,303.0
666,SAP18,201.0
667,POSTN,24.0
668,UFM1,407.0
669,RGCC,311.0
670,EPSTI1,270.0
671,TSC22D1,334.0
672,LCP1,163.0
673,LMO7,400.0
674,FARP1,322.0
675,ARGLU1,247.0
676,COL4A1,355.0
677,COL4A2,249.5
678,RNASE1,281.5
679,NDRG2,257.0
680,TRAC,95.5
681,DAD1,243.0
682,MMP14,324.5
683,LRP10,323.5
684,EGLN3,326.0
685,SNX6,318.0
686,CFL2,272.0
687,CLEC14A,254.0
688,ERO1A,304.0
689,LGALS3,112.0
690,KTN1,322.0
691,PSMA3,324.0
692,SYNE2,228.0
693,ACTN1,380.0
694,ERH,353.0
695,NPC2,312.0
696,LTBP2,134.0
697,PGF,414.0
698,FOS,91.0
699,VASH1,254.0
700,SPTLC2,412.0
701,SLIRP,398.0
702,STON2,278.0
703,FBLN5,51.0
704,LGMN,249.0
705,IFI27,160.0
706,SERPINA1,32.5
707,EVL,412.0
708,WARS,340.5
709,PPP2R5C,92.0
710,MOK,213.0
711,TNFAIP2,404.0
712,CKB,184.0
713,CRIP1,373.0
714,FMN1,420.0
715,EMC4,232.0
716,THBS1,61.0
717,SPINT1,187.0
718,CAPN3,357.0
719,B2M,408.0
720,FBN1,147.0
721,LYSMD2,330.0
722,ANXA2,101.0
723,CA12,284.0
724,CSK,359.0
725,SNX33,384.0
726,DNAJA4,423.5
727,PSMA4,259.0
728,CTSH,226.0
729,HDGFL3,393.0
730,POLG,287.0
731,ANPEP,174.5
732,SEMA4B,108.0
733,CHD2,365.0
734,SYNM,264.0
735,CHSY1,386.0
736,HBA2,1.0
737,SLC9A3R2,120.5
738,IL32,409.0
739,CIITA,228.0
740,LITAF,380.0
741,TXNDC11,424.0
742,ABCC1,356.0
743,TMEM159,414.0
744,GGA2,381.0
745,NDUFAB1,347.0
746,NSMCE1,343.0
747,NUPR1,226.5
748,CORO1A,199.0
749,SEPTIN1,320.0
750,TMEM265,240.0
751,ITGAX,239.5
752,ADCY7,404.0
753,MMP2,244.5
754,MT2A,158.0
755,MT1E,84.0
756,MT1F,298.0
757,MT1G,156.5
758,MT1X,45.0
759,HERPUD1,361.0
760,ADGRG1,186.5
761,CDH5,179.0
762,CMTM3,390.0
763,RRAD,295.0
764,PSMB10,318.0
765,CDH1,386.5
766,UTP4,421.5
767,KARS,305.0
768,PLCG2,374.0
769,COTL1,103.0
770,CRISPLD2,234.0
771,RNF166,334.0
772,MYO1C,423.0
773,SERPINF1,150.0
774,PFN1,321.0
775,KIF1C,311.0
776,C17orf49,190.0
777,TMEM256,366.0
778,CD68,346.0
779,TRAPPC1,125.0
780,RASD1,108.0
781,ALDH3A2,310.0
782,SPECC1,246.0
783,WSB1,268.0
784,FLOT2,314.0
785,SSH2,265.0
786,CPD,382.5
787,CRLF3,308.0
788,SLFN5,423.0
789,CCL5,121.0
790,ZNHIT3,120.0
791,GGNBP2,95.0
792,AATF,99.0
793,ACACA,154.0
794,DDX52,393.5
795,MLLT6,221.0
796,PCGF2,378.0
797,PLXDC1,221.0
798,ERBB2,271.0
799,GSDMB,260.0
800,IGFBP4,357.0
801,JUP,364.0
802,FKBP10,50.0
803,ACLY,318.5
804,TUBG2,427.0
805,COA3,340.0
806,VAT1,193.0
807,ITGB3,396.0
808,EFCAB13,279.0
809,ITGA3,412.0
810,PPP1R9B,357.0
811,COL1A1,65.0
812,SPATA20,288.0
813,TOB1,422.0
814,SCPEP1,404.0
815,MTMR4,121.0
816,TBX2,423.0
817,MRC2,352.0
818,DCAF7,328.0
819,LIMD2,254.0
820,ERN1,105.0
821,PECAM1,109.0
822,KCNJ16,410.5
823,GPRC5C,359.0
824,SLC9A3R1,271.0
825,ATP5PD,121.0
826,JPT1,259.0
827,ACOX1,349.0
828,SRSF2,422.0
829,MFSD11,128.0
830,SEPTIN9,392.0
831,TMC8,278.0
832,SOCS3,205.0
833,PGS1,355.0
834,CYTH1,255.0
835,USP36,243.0
836,TIMP2,286.0
837,LGALS3BP,255.0
838,RNF213,229.0
839,P4HB,167.0
840,ARHGDIA,316.0
841,SLC16A3,208.0
842,CYBC1,320.0
843,SMCHD1,163.5
844,RAB31,400.0
845,SLC39A6,347.0
846,SMAD7,157.0
847,ACAA2,143.0
848,ME2,227.0
849,NEDD4L,359.0
850,SEC11C,411.0
851,CYB5A,148.0
852,CNDP2,407.0
853,FSTL3,225.5
854,ABCA7,363.0
855,ARHGAP45,406.0
856,GPX4,354.5
857,MIDN,409.0
858,CIRBP,78.0
859,UQCR11,347.0
860,TLE2,166.0
861,NFIC,390.0
862,EEF2,277.0
863,SAFB2,384.0
864,SLC25A23,249.0
865,C3,301.0
866,ANGPTL4,340.0
867,ICAM1,307.5
868,SLC44A2,382.5
869,ACP5,336.0
870,JUNB,250.0
871,DNASE2,321.5
872,IER2,306.5
873,DNAJB1,368.0
874,PLVAP,98.0
875,BST2,339.0
876,IFI30,107.0
877,LSM4,408.0
878,FXYD1,268.0
879,FXYD5,331.0
880,COX6B1,387.0
881,PSENEN,363.0
882,TYROBP,266.0
883,COX7A1,348.0
884,SPINT2,322.0
885,PPP1R14A,188.0
886,C19orf33,251.0
887,MAP4K1,302.0
888,ECH1,165.0
889,GMFG,291.0
890,ZFP36,256.5
891,PLD3,348.0
892,LTBP4,147.5
893,TMEM91,418.0
894,ARHGEF1,210.0
895,PLAUR,281.0
896,BCAM,205.5
897,APOE,108.0
898,APOC1,24.0
899,CLPTM1,348.0
900,DMPK,296.0
901,C5AR1,300.0
902,EHD2,313.0
903,NOP53,191.0
904,PPP1R15A,168.0
905,FTL,122.0
906,GYS1,338.0
907,SNRNP70,205.0
908,CD37,118.5
909,RRAS,427.0
910,ATF5,171.0
911,SIGLEC10,365.0
912,FPR3,264.5
913,RBCK1,277.5
914,GPCPD1,354.0
915,JAG1,326.0
916,THBD,266.0
917,CD93,327.0
918,ACSS1,86.0
919,ID1,278.0
920,EIF6,417.0
921,EPB41L1,295.0
922,MYL9,54.0
923,SRC,119.0
924,BLCAP,234.0
925,TGM2,303.0
926,MAFB,319.0
927,ADA,100.0
928,PABPC1L,209.0
929,STK4,122.0
930,SDC4,400.5
931,WFDC2,108.0
932,PLTP,289.0
933,ELMO2,430.0
934,ZMYND8,126.5
935,PREX1,405.0
936,TMEM189,367.0
937,TSHZ2,319.0
938,NPEPL1,206.0
939,PRELID3B,127.0
940,TNFRSF6B,290.0
941,ATP5PF,332.5
942,ADAMTS1,150.0
943,IFNGR2,344.0
944,KCNJ15,220.5
945,MX1,376.0
946,CSTB,63.0
947,ITGB2,392.0
948,COL18A1,236.0
949,ADA2,398.0
950,DGCR2,399.0
951,CLDN5,150.5
952,CHCHD10,336.5
953,MIF,155.0
954,GGT5,298.0
955,XBP1,31.0
956,NIPSNAP1,414.0
957,GAL3ST1,391.5
958,SMTN,376.0
959,PIK3IP1,329.0
960,TIMP3,166.0
961,HMOX1,235.0
962,APOL1,156.0
963,RAC2,289.0
964,CDC42EP1,356.5
965,LGALS1,146.0
966,APOBEC3G,399.5
967,PDGFB,410.0
968,ACO2,379.0
969,PMM1,226.0
970,CYB5R3,311.0
971,A4GALT,323.0
972,TTC38,264.0
973,TMSB4X,350.5
974,PRDX4,321.0
975,CYBB,219.0
976,DDX3X,227.5
977,NDUFB11,255.0
978,TIMP1,170.0
979,WDR13,380.5
980,TSPYL2,417.0
981,VSIG4,193.0
982,IL2RG,229.0
983,COX7B,395.5
984,ITM2A,361.0
985,BEX4,389.0
986,TCEAL9,306.0
987,BEX3,373.0
988,MORF4L2,375.0
989,RNF128,319.0
990,IL13RA1,282.0
991,UBE2A,256.0
992,SEPTIN6,401.0
993,NDUFA1,361.0
994,CETN2,290.0
995,BGN,124.0
996,SSR4,112.0
997,FLNA,35.0
998,MPP1,388.0
999,KDM5D,195.0
