,gene,highly_variable_rank
265,PTPA,189.0
266,ASS1,135.0
267,PFKP,69.0
268,PTER,165.0
269,VIM,159.5
270,PARD3,15.0
271,CREM,69.0
272,CCNY,145.0
273,CXCL12,120.0
274,CISD1,126.0
275,SRGN,167.0
276,DDIT4,9.5
277,KCNMA1,194.0
278,ACTA2,50.0
279,LIPA,49.0
280,PPP1R3C,207.0
281,SORBS1,90.0
282,PDCD4,175.0
283,IFITM2,197.0
284,IFITM1,91.0
285,IFITM3,113.0
286,LSP1,187.5
287,TRIM22,78.0
288,PPFIBP2,35.0
289,ADM,131.0
290,CTNND1,195.0
291,MS4A6A,159.0
292,MS4A7,192.5
293,RASGRP2,175.5
294,SSH3,80.0
295,CTSC,118.0
296,C11orf54,118.0
297,BIRC3,137.5
298,MMP7,70.0
299,ACAT1,176.0
300,CRYAB,92.0
301,ZBTB16,194.0
302,NNMT,145.5
303,TAGLN,25.0
304,IL10RA,122.0
305,MPZL2,34.0
306,CD3E,208.5
307,CD3D,160.0
308,THY1,164.0
309,VWF,42.0
310,CD9,109.5
311,ENO2,207.0
312,ATN1,185.0
313,C1S,113.0
314,A2M,62.0
315,MGP,141.0
316,ARHGDIB,141.5
317,DERA,175.5
318,MGST1,195.5
319,PLEKHA5,178.0
320,CCDC91,85.0
321,SLC38A1,180.0
322,SLC38A2,186.0
323,PFKM,143.0
324,TMBIM6,116.0
325,NR4A1,87.0
326,KRT8,128.5
327,KRT18,128.5
328,PRR13,196.0
329,CBX5,153.0
330,PTGES3,185.0
331,RASSF3,208.0
332,MDM2,192.0
333,LYZ,19.0
334,PTPRB,190.0
335,LUM,26.0
336,DCN,27.5
337,HSP90B1,167.0
338,C12orf75,174.0
339,ANKRD13A,137.0
340,OAS2,195.0
341,FBXO21,205.0
342,PEBP1,125.0
343,HSPB8,36.0
344,COX6A1,134.0
345,SCARB1,183.5
346,PXMP2,175.0
347,SAP18,201.0
348,HSPH1,50.0
349,POSTN,24.0
350,RGCC,209.0
351,LCP1,163.0
352,ITM2B,28.0
353,NDFIP2,195.0
354,COL4A1,208.0
355,TRAC,95.5
356,MMP14,98.0
357,EGLN3,177.0
358,LGALS3,81.5
359,HIF1A,194.0
360,ZFP36L1,158.0
361,ACTN1,203.0
362,LTBP2,134.0
363,FOS,63.0
364,CCDC88C,142.0
365,FBLN5,51.0
366,IFI27,160.0
367,SERPINA1,22.0
368,PPP2R5C,92.0
369,HSP90AA1,104.0
370,CKB,184.0
371,RASGRP1,149.0
372,THBS1,39.0
373,SPINT1,151.5
374,FBN1,147.0
375,ANXA2,101.0
376,TPM1,68.0
377,PPIB,63.0
378,SMAD3,147.0
379,DNAJA4,161.5
380,MTHFS,91.0
381,ANPEP,126.0
382,SEMA4B,108.0
383,SYNM,185.0
384,HBA2,1.0
385,SLC9A3R2,117.0
386,TNFRSF12A,69.0
387,TMEM159,188.0
388,CORO1A,197.5
389,VKORC1,146.0
390,ITGAX,126.0
391,MT2A,112.0
392,MT1E,66.0
393,MT1G,156.5
394,MT1X,23.5
395,ADGRG1,186.5
396,CDH5,179.0
397,CES2,109.0
398,CDH1,128.0
399,COTL1,103.0
400,SERPINF1,146.0
401,XAF1,183.0
402,C17orf49,190.0
403,CD68,94.0
404,TRAPPC1,125.0
405,RASD1,88.0
406,CPD,33.0
407,EVI2A,156.0
408,CCL5,92.5
409,ZNHIT3,120.0
410,GGNBP2,95.0
411,AATF,99.0
