,gene,highly_variable_rank
0,ISG15,81.5
1,PLA2G2A,7.0
2,CAMK2N1,24.0
3,HSPG2,93.0
4,IFI6,25.0
5,LAPTM5,71.0
6,COL16A1,76.0
7,TSPAN1,82.5
8,JUN,78.5
9,RGS5,58.5
10,ELF3,66.0
11,FMOD,81.0
12,PRELP,80.5
13,ATF3,55.0
14,AIDA,70.0
15,RHOU,56.0
16,MBOAT2,86.5
17,GREB1,90.0
18,ACTG2,29.0
19,CAPG,82.0
20,IGKC,0.0
21,DPP4,72.0
22,CYBRD1,91.5
23,WIPF1,81.0
24,COL3A1,69.0
25,TMEFF2,21.0
26,FASTKD2,92.0
27,FN1,28.5
28,IGFBP5,74.0
29,DES,77.5
30,TRPM8,86.0
31,CAMK1,86.0
32,FBLN2,93.0
33,MYLK,63.0
34,ACPP,77.0
35,MME,48.0
36,APOD,88.5
37,SPON2,15.0
38,SOD3,14.5
39,IGFBP7,85.0
40,PRKG2,12.5
41,SYNPO2,89.0
42,RETREG1,94.5
43,AMACR,23.5
44,C7,82.0
45,MCCC2,46.0
46,THBS4,80.0
47,DMXL1,64.0
48,HSD17B4,67.0
49,SLC12A2,46.0
50,IRF1,21.0
51,TGFBI,64.0
52,EGR1,38.5
53,CD74,32.0
54,HIST1H4B,84.0
55,HIST1H4C,82.5
56,HIST1H2BG,43.5
57,HIST1H2AE,61.0
58,HIST1H4H,56.0
59,HIST1H3H,24.0
60,HLA-E,58.5
61,HSPA1B,70.0
62,CFB,39.0
63,HLA-DRA,38.0
64,HLA-DPB1,95.0
65,VEGFA,69.0
66,MYO6,76.0
67,CDK19,91.0
68,CCN2,86.0
69,CNKSR3,91.0
70,SOD2,91.5
71,TSPAN13,76.0
72,AGR2,50.0
73,NPY,30.0
74,TRGV9,93.0
75,AEBP1,62.0
76,IGFBP3,40.0
77,CLDN3,89.0
78,CLDN4,45.0
79,HSPB1,69.0
80,FGL2,28.0
81,STEAP2,83.0
82,COL1A2,67.0
83,BHLHA15,76.0
84,AZGP1,4.5
85,CTSB,77.0
86,SULF1,65.5
87,CRISPLD1,48.5
88,PABPC1,60.0
89,TRIB1,75.0
90,MYC,48.0
91,PTP4A3,14.0
92,ZFAND5,93.0
93,ALDH1A1,84.5
94,RORB,92.0
95,GOLM1,28.5
96,TUT7,81.5
97,NANS,66.0
98,PTGR1,43.0
99,ASTN2,82.0
100,GSN,88.0
101,PTGDS,27.0
102,PFKP,74.0
103,VIM,57.5
104,MSMB,15.0
105,USP54,51.0
106,ACTA2,30.0
107,SCD,48.5
108,CRACR2B,78.0
109,OR51E1,33.0
110,OR51E2,52.0
111,OR51C1P,50.0
112,NUCB2,84.0
113,TP53I11,70.0
114,MDK,57.0
115,CYB561A3,37.5
116,FTH1,72.0
117,EEF1G,76.0
118,PLAAT4,21.0
119,NUDT8,58.0
120,STARD10,77.0
121,FZD4,81.0
122,TMEM123,81.0
123,TAGLN,55.0
124,MCAM,81.5
125,HSPA8,79.0
126,NCAPD3,11.0
127,ACAD8,23.0
128,NR4A1,37.5
129,KRT5,47.0
130,KRT18,79.0
131,SHMT2,90.5
132,LYZ,28.0
133,TSPAN8,65.0
134,OSBPL8,16.5
135,CAMKK2,42.0
136,MIPEP,43.0
137,POSTN,60.0
138,COL4A1,88.5
139,ING1,59.0
140,FOXA1,74.0
141,SGPP1,50.0
142,RDH11,70.0
143,FOS,20.0
144,WARS,54.0
145,IGHA1,1.0
146,B2M,35.0
147,FBN1,79.0
148,BBS4,86.0
149,ABHD2,47.0
150,MESP1,67.0
151,IL32,47.5
152,ACSM1,19.0
153,MT2A,7.0
154,MT1E,70.0
155,MT1G,20.0
156,MT1X,36.5
157,CDH11,91.0
158,MON1B,6.0
159,CENPN,75.0
160,PPP1R1B,73.0
161,KRT15,16.0
162,PRAC1,59.0
163,COL1A1,33.0
164,ABCA8,80.0
165,JPT1,78.0
166,FASN,32.0
167,COLEC12,67.0
168,APCDD1,91.0
169,ANKRD29,83.0
170,SLC39A6,89.0
171,C18orf32,94.0
172,CNN1,92.0
173,IER2,57.0
174,GDF15,53.0
175,HPN,33.0
176,HSPB6,94.0
177,ZFP36,32.0
178,FOSB,21.5
179,ATF5,39.0
180,C19orf48,51.0
181,KLK4,19.0
182,PCNA,60.0
183,MYL9,48.5
184,TGM2,60.0
185,WFDC2,63.5
186,PCP4,40.0
187,BACE2,79.0
188,XBP1,31.0
189,NEFH,22.0
190,FBLN1,74.0
191,TMSB4X,88.5
192,REPS2,69.0
193,SMS,94.0
194,EIF2S3,86.0
195,TIMP1,53.0
196,PAGE4,61.5
197,TMSB15A,86.0
198,BGN,57.0
199,FLNA,90.0
