,gene
301,ABCD3
263,ACADM
6,ACAP3
359,ACP6
420,ADAM15
478,ADAMTS4
414,ADAR
272,ADGRL2
169,AGO1
170,AGO3
168,AGO4
3,AGRN
326,AHCYL1
182,AKIRIN1
212,AKR1A1
492,ALDH9A1
324,AMPD2
312,AMY2B
366,ANP32E
339,AP4B1
367,APH1A
300,ARHGAP29
76,ARHGEF10L
455,ARHGEF11
438,ARHGEF2
117,ARID1A
377,ARNT
432,ASH1L
485,ATF6
344,ATP1A1
130,ATP5IF1
332,ATP5PB
207,ATP6V0B
411,ATP8B2
221,ATPAF1
10,AURKAIP1
477,B4GALT3
153,BSDC1
231,BTF3L4
91,C1QA
93,C1QB
92,C1QC
178,C1orf122
333,C1orf162
29,C1orf174
409,C1orf43
275,C1orf52
368,C1orf54
83,CAMK2N1
37,CAMTA1
189,CAP1
80,CAPZB
233,CC2D1B
277,CCN1
11,CCNL2
447,CCT3
116,CD52
328,CD53
467,CD84
381,CDC42SE1
15,CDK11B
52,CENPS
28,CEP104
379,CERS2
399,CHTOP
194,CITED4
318,CLCC1
58,CLCN6
106,CLIC4
429,CLK2
46,CLSTN1
224,CMPK1
302,CNN3
145,COL16A1
465,COPA
495,CREG1
405,CRTC2
262,CRYZ
343,CSDE1
325,CSF1
274,CTBS
47,CTNNBIP1
376,CTSK
375,CTSS
335,CTTNBP2NL
238,CZIB
434,DAP3
498,DCAF6
463,DCAF8
276,DDAH1
66,DDI2
84,DDOST
473,DEDD
330,DENND2D
404,DENND4B
53,DFFA
63,DHRS3
208,DMAP1
129,DNAJC8
299,DNTTIP2
250,DOCK7
309,DPH5
423,DPM3
303,DPYD
298,DR1
329,DRAM2
484,DUSP12
459,DUSP23
8,DVL1
201,EBNA1BP2
87,ECE1
236,ECHDC2
372,ECM1
222,EFCAB14
65,EFHD2
421,EFNA1
150,EIF3I
86,EIF4G3
100,ELOA
202,ELOVL1
78,EMC1
43,ENO1
135,EPB41
227,EPS15
209,ERI3
41,ERRFI1
456,ETV3
295,EVI5
55,EXOSC10
468,F11R
225,FAF1
315,FAM102B
428,FAM189B
68,FBLIM1
71,FBXO42
57,FBXO44
480,FCER1G
481,FCGR2A
483,FCGR2B
482,FCGR3A
430,FDPS
125,FGR
181,FHL3
196,FOXJ3
269,FUBP1
257,GADD45A
403,GATAD2B
427,GBA
288,GBP1
289,GBP2
290,GBP4
446,GLMP
323,GNAI3
18,GNB1
258,GNG12
177,GNL2
374,GOLPH3L
435,GON4L
449,GPATCH4
214,GPBP1L1
119,GPN2
360,GPR89B
285,GTF2B
44,H6PD
151,HDAC1
453,HDGF
210,HECTD3
1,HES4
186,HEYL
362,HIST2H2AB
96,HNRNPR
85,HP1BP3
282,HS2ST1
240,HSPB11
89,HSPG2
205,HYI
31,ICMT
99,ID3
458,IFI16
271,IFI44
270,IFI44L
126,IFI6
461,IGSF8
412,IL6R
400,ILF2
179,INPP5B
7,INTS11
401,INTS3
2,ISG15
451,ISG20L2
251,ITGB3BP
253,JAK1
407,JTB
245,JUN
30,KCNAB2
94,KDM1A
437,KHDC4
146,KHDRBS1
166,KIAA0319L
154,KIAA1522
50,KIF1B
457,KIRREL1
36,KLHL21
147,KPNA6
424,KRTCAP2
286,KYAT3
441,LAMTOR2
138,LAPTM5
111,LDLRAP1
254,LEPROT
355,LIX1L
442,LMNA
283,LMO4
338,LRIG2
259,LRRC40
218,LRRC41
27,LRRC47
291,LRRC8D
175,LSM10
95,LUZP1
48,LZIC
184,MACF1
110,MACO1
346,MAN1A2
123,MAP3K6
172,MAP7D1
152,MARCKSL1
373,MCL1
