,gene,highly_variable_rank
0,ERRFI1,9.0
1,C1QA,11.0
2,IFI44L,7.0
3,CCN1,10.5
4,MUC1,11.0
5,GLUL,13.0
6,ATF3,13.0
7,IGKC,1.0
8,ITGB6,13.0
9,IGFBP5,14.0
10,BHLHE40,14.0
11,TMEM45A,5.0
12,PLOD2,10.0
13,CXCL9,8.5
14,ANK2,3.0
15,PDLIM3,0.0
16,IL7R,11.0
17,LOX,9.0
18,CXCL14,10.0
19,GPX3,10.0
20,HIST1H3D,5.0
21,CCN2,7.0
22,AQP1,6.0
23,IGFBP3,12.5
24,TP53INP1,12.0
25,NDRG1,6.0
26,AQP3,0.0
27,PTGR1,7.0
28,PTGS1,11.0
29,DDIT4,9.5
30,BIRC3,14.0
31,MMP7,2.0
32,NR4A1,15.0
33,LYZ,12.5
34,DCN,10.5
35,EGLN3,8.0
36,SERPINA1,14.0
37,HBA2,1.0
38,MT1G,3.0
39,TOB1,12.0
40,SRSF2,9.0
41,MFSD11,9.5
42,ANGPTL4,7.0
43,JUNB,8.0
44,APOE,12.0
45,APOC1,12.0
46,ID1,1.0
47,WFDC2,2.0
48,CLDN5,14.0
49,TIMP3,10.0
