,gene,highly_variable_rank
0,HES4,617.0
1,ISG15,102.0
2,B3GALT6,686.0
3,UBE2J2,688.0
4,MXRA8,665.5
5,TNFRSF14,514.0
6,PRXL2B,783.0
7,ZBTB48,929.0
8,ERRFI1,682.0
9,ENO1,918.5
10,CLSTN1,888.0
11,CASZ1,421.0
12,SRM,699.0
13,MTOR,187.0
14,MAD2L2,500.5
15,AGTRAP,810.0
16,MIIP,606.0
17,DDI2,614.0
18,SDHB,419.0
19,EMC1,752.0
20,NBL1,381.5
21,PLA2G2A,7.0
22,CAMK2N1,24.0
23,DDOST,624.0
24,EIF4G3,649.0
25,RAP1GAP,848.5
26,HSPG2,165.0
27,ZBTB40,991.0
28,C1QC,234.0
29,C1QB,118.0
30,HNRNPR,866.0
31,ASAP3,794.0
32,ID3,368.0
33,PITHD1,560.0
34,NIPAL3,956.5
35,RCAN3,517.0
36,SYF2,374.0
37,NUDC,327.0
38,AHDC1,650.0
39,IFI6,25.0
40,EYA3,840.0
41,ATP5IF1,349.0
42,TAF12,985.5
43,SRSF4,893.0
44,LAPTM5,123.0
45,SERINC2,539.5
46,COL16A1,522.0
47,EIF3I,503.0
48,MARCKSL1,120.0
49,KIAA1522,408.0
50,YARS,572.0
51,TMEM54,792.0
52,SMIM12,814.0
53,ZC3H12A,719.0
54,MEAF6,676.0
55,DNALI1,966.0
56,SF3A3,857.0
57,AKIRIN1,892.0
58,PABPC4,370.0
59,HEYL,407.0
60,ZMPSTE24,621.0
61,COL9A2,644.5
62,SMAP2,863.0
63,SLC2A1,822.0
64,EBNA1BP2,526.0
65,TESK2,766.0
66,TMEM69,753.0
67,TSPAN1,194.0
68,POMGNT1,423.0
69,FAAH,859.0
70,EFCAB14,664.0
71,CMPK1,666.5
72,TTC39A,258.0
73,RAB3B,527.0
74,TXNDC12,743.0
75,BTF3L4,887.0
76,SCP2,805.5
77,YIPF1,666.0
78,TMEM59,319.5
79,DHCR24,169.0
80,PLPP3,837.0
81,JUN,115.0
82,JAK1,874.0
83,PDE4B,363.0
84,MIER1,987.0
85,SERBP1,558.5
86,RABGGTB,249.0
87,AC118549.1,937.5
88,USP33,981.0
89,IFI44,761.0
90,PRKACB,813.5
91,DNASE2B,627.5
92,LPAR3,502.0
93,DDAH1,969.0
94,CCN1,230.5
95,SH3GLB1,978.0
96,HS2ST1,514.0
97,GBP2,267.5
98,TMED5,799.0
99,FNBP1L,379.0
100,F3,155.0
101,MFSD14A,977.0
102,KIAA1324,530.5
103,NRAS,893.0
104,CSDE1,198.0
105,VANGL1,856.0
106,PTGFRN,939.0
107,WDR3,625.0
108,PHGDH,390.0
109,RBM8A,751.0
110,TXNIP,151.0
111,HIST2H2AB,801.0
112,PLEKHO1,671.0
113,GOLPH3L,935.5
114,CERS2,360.0
115,MINDY1,600.0
116,ZNF687,978.0
117,S100A6,110.0
118,S100A4,365.0
119,CHTOP,977.5
120,ILF2,593.0
121,CREB3L4,934.0
122,C1orf43,213.5
123,ZBTB7B,355.0
124,ADAM15,473.0
125,SLC50A1,982.5
126,KRTCAP2,505.0
127,MUC1,965.0
128,RUSC1,617.0
129,SSR2,659.0
130,SEMA4A,750.5
131,GLMP,847.0
132,NAXE,539.5
133,GPATCH4,907.0
134,NES,786.0
135,TAGLN2,495.0
136,IGSF8,744.5
137,PFDN2,846.0
138,UHMK1,784.0
139,RGS5,99.0
140,MPC2,395.0
141,ATP1B1,596.5
142,PRRX1,527.5
143,PRDX6,456.5
144,SOAT1,765.0
145,DHX9,556.5
146,C1orf21,696.0
147,PTPRC,329.0
148,PKP1,166.0
149,LAD1,370.0
150,LMOD1,566.0
151,ELF3,414.0
152,KDM5B,996.0
153,KLHL12,931.0
154,BTG2,477.0
155,FMOD,765.0
156,PRELP,628.5
157,PPP1R15B,958.5
158,ELK4,550.5
159,SLC45A3,129.0
160,C1orf116,549.0
161,CD55,296.0
162,CD46,574.0
163,SLC30A1,939.0
164,ATF3,55.0
165,KCTD3,917.0
166,GPATCH2,734.0
167,IARS2,711.0
168,C1orf115,710.0
169,MARC1,278.0
170,MIA3,269.5
171,AIDA,120.0
172,CAPN2,957.0
173,DEGS1,326.0
174,NVL,375.0
175,SRP9,986.5
176,CDC42BPA,792.5
177,RHOU,97.0
178,NTPCR,888.0
179,ERO1B,907.0
180,LGALS8,212.0
181,AKT3,390.5
182,ZBTB18,283.0
183,ADSS,774.0
184,SCCPDH,382.0
185,SH3BP5L,890.0
186,ZNF672,871.5
187,ID2,922.5
188,MBOAT2,204.0
189,ITGB1BP1,546.0
190,YWHAQ,163.0
191,GRHL1,851.0
192,ODC1,180.0
193,PDIA6,790.0
194,GREB1,419.5
195,TRIB2,238.0
196,LRATD1,445.0
197,LAPTM4A,211.0
198,SDC1,651.5
199,PUM2,772.0
200,SF3B6,275.0
201,TP53I3,503.0
202,NCOA1,309.0
203,PTRHD1,369.0
204,MAPRE3,915.0
205,EMILIN1,731.0
206,CGREF1,189.0
207,ATRAID,582.0
208,PPP1CB,314.5
209,LBH,786.0
210,LCLAT1,774.0
211,LTBP1,447.0
212,EML4,964.0
213,COX7A2L,313.0
214,ZFP36L2,439.0
215,THADA,927.5
216,LRPPRC,966.0
217,EPAS1,637.0
218,MCFD2,599.5
219,EPCAM,267.5
220,FOXN2,411.0
221,PPP1R21,584.0
222,ERLEC1,856.5
223,CFAP36,613.0
224,PEX13,785.0
225,XPO1,725.0
226,CCT4,843.0
227,EHBP1,455.0
228,VPS54,506.0
229,SLC1A4,422.0
230,PNO1,740.5
231,AAK1,877.5
232,FAM136A,746.0
233,TEX261,254.0
234,RAB11FIP5,956.0
235,ACTG2,29.0
236,DGUOK,917.0
237,RTKN,741.0
238,CAPG,131.0
239,GGCX,966.0
240,POLR1A,723.0
241,EIF2AK3,699.0
242,RPIA,622.0
243,IGKC,0.0
244,STARD7,967.0
245,CNNM3,828.0
246,TMEM131,814.0
247,AFF3,121.0
