,gene
6,ACAP3
169,AGO1
170,AGO3
168,AGO4
3,AGRN
182,AKIRIN1
76,ARHGEF10L
117,ARID1A
130,ATP5IF1
10,AURKAIP1
153,BSDC1
91,C1QA
93,C1QB
92,C1QC
178,C1orf122
29,C1orf174
83,CAMK2N1
37,CAMTA1
189,CAP1
80,CAPZB
11,CCNL2
116,CD52
15,CDK11B
52,CENPS
28,CEP104
194,CITED4
58,CLCN6
106,CLIC4
46,CLSTN1
145,COL16A1
47,CTNNBIP1
66,DDI2
84,DDOST
53,DFFA
63,DHRS3
129,DNAJC8
8,DVL1
87,ECE1
65,EFHD2
150,EIF3I
86,EIF4G3
100,ELOA
78,EMC1
43,ENO1
135,EPB41
41,ERRFI1
55,EXOSC10
68,FBLIM1
71,FBXO42
57,FBXO44
125,FGR
181,FHL3
196,FOXJ3
18,GNB1
177,GNL2
119,GPN2
44,H6PD
151,HDAC1
1,HES4
186,HEYL
96,HNRNPR
85,HP1BP3
89,HSPG2
31,ICMT
99,ID3
126,IFI6
179,INPP5B
7,INTS11
2,ISG15
30,KCNAB2
94,KDM1A
146,KHDRBS1
166,KIAA0319L
154,KIAA1522
50,KIF1B
36,KLHL21
147,KPNA6
138,LAPTM5
111,LDLRAP1
27,LRRC47
175,LSM10
95,LUZP1
48,LZIC
184,MACF1
110,MACO1
123,MAP3K6
172,MAP7D1
152,MARCKSL1
176,MEAF6
137,MECR
24,MEGF6
60,MFN2
14,MIB2
81,MICOS10
20,MORN1
79,MRTO4
113,MTFR1L
56,MTOR
9,MXRA8
17,NADK
82,NBL1
183,NDUFS5
73,NECAP2
193,NFYC
0,NOC2L
34,NOL9
120,NUDC
199,P3H1
185,PABPC4
22,PANK4
40,PARK7
39,PER3
51,PGD
131,PHACTR4
160,PHC2
101,PITHD1
33,PLEKHG5
67,PLEKHM2
59,PLOD1
102,PNRC2
197,PPCS
187,PPIE
198,PPIH
190,PPT1
64,PRDM2
167,PSMB2
140,PUM1
104,RCAN3
75,RCC2
21,RER1
42,RERE
158,RNF19B
108,RSRP1
156,S100PBP
195,SCMH1
139,SDC3
4,SDF4
74,SDHB
112,SELENON
143,SERINC2
180,SF3A3
164,SFPQ
114,SH3BGRL3
19,SKI
16,SLC35E2B
192,SMAP2
161,SMIM12
141,SNRNP40
69,SPEN
45,SPSB1
54,SRM
105,SRRM1
103,SRSF10
136,SRSF4
13,SSU72
174,STK40
127,STX12
107,SYF2
72,SZRD1
133,TAF12
98,TCEA3
128,THEMIS2
173,THRAP3
144,TINAGL1
122,TMEM222
149,TMEM234
162,TMEM35B
109,TMEM50A
157,TMEM54
23,TNFRSF14
61,TNFRSF1B
32,TNFRSF25
25,TPRG1L
171,TRAPPC3
188,TRIT1
132,TRNAU1AP
148,TXLNA
5,UBE2J2
49,UBE4B
77,UBR4
115,UBXN11
88,USP48
38,VAMP3
62,VPS13D
12,VWA1
124,WASF2
121,WDTC1
26,WRAP73
155,YARS
134,YTHDF2
70,ZBTB17
90,ZBTB40
35,ZBTB48
142,ZCCHC17
118,ZDHHC18
191,ZMPSTE24
165,ZMYM4
163,ZMYM6
159,ZNF362
97,ZNF436
