,gene
344,HLA-DQA1
346,HLA-DQA2
345,HLA-DQB1
347,HLA-DQB2
343,HLA-DRB1
342,HLA-DRB5
625,HMGA2
277,HMGB2
320,HMMR
980,HMOX1
544,HOATZ
237,HOPX
166,HOXD1
792,HP
278,HPGD
260,HPGDS
773,HS3ST2
100,HSD11B1-AS1
40,HSD3B2
339,HSPA1A
340,HSPA1B
75,HSPA6
9,HSPG2
257,IBSP
864,ID1
13,ID3
326,ID4
449,IDO1
334,IER3
902,IFI30
580,IFIT1
578,IFIT2
579,IFIT3
480,IFNB1
626,IFNG
912,IFNL1
911,IFNL2
910,IFNL3
638,IGF1
503,IGF2
830,IGF2BP1
387,IGFBP1
177,IGFBP2
388,IGFBP3
178,IGFBP5
620,IGFBP6
239,IGFBP7
923,IGFL1
921,IGFL2
922,IGFL2-AS1
692,IGHA1
687,IGHA2
696,IGHD
688,IGHE
693,IGHEP1
694,IGHG1
690,IGHG2
695,IGHG3
689,IGHG4
691,IGHGP
697,IGHM
710,IGHV1-18
700,IGHV1-2
714,IGHV1-24
701,IGHV1-3
723,IGHV1-46
728,IGHV1-58
733,IGHV1-69
735,IGHV1-69-2
736,IGHV1-69D
715,IGHV2-26
704,IGHV2-5
737,IGHV2-70
734,IGHV2-70D
707,IGHV3-11
708,IGHV3-13
709,IGHV3-15
711,IGHV3-20
712,IGHV3-21
713,IGHV3-23
717,IGHV3-30
719,IGHV3-33
722,IGHV3-43
724,IGHV3-48
725,IGHV3-49
727,IGHV3-53
731,IGHV3-64
732,IGHV3-66
705,IGHV3-7
738,IGHV3-72
739,IGHV3-73
740,IGHV3-74
716,IGHV4-28
718,IGHV4-31
720,IGHV4-34
721,IGHV4-39
702,IGHV4-4
729,IGHV4-59
730,IGHV4-61
706,IGHV5-10-1
726,IGHV5-51
699,IGHV6-1
703,IGHV7-4-1
122,IGKC
129,IGKV1-12
131,IGKV1-16
132,IGKV1-17
136,IGKV1-27
138,IGKV1-37
139,IGKV1-39
124,IGKV1-5
125,IGKV1-6
126,IGKV1-8
127,IGKV1-9
147,IGKV1D-13
145,IGKV1D-16
142,IGKV1D-33
141,IGKV1D-39
149,IGKV1D-8
135,IGKV2-24
137,IGKV2-30
144,IGKV2D-28
143,IGKV2D-29
140,IGKV2D-40
128,IGKV3-11
130,IGKV3-15
133,IGKV3-20
148,IGKV3D-11
146,IGKV3D-15
123,IGKV4-1
134,IGKV6-21
969,IGLC2
970,IGLC3
971,IGLC6
972,IGLC7
968,IGLL5
954,IGLV1-36
953,IGLV1-40
952,IGLV1-41
950,IGLV1-44
947,IGLV1-47
944,IGLV1-51
963,IGLV2-11
961,IGLV2-14
957,IGLV2-23
966,IGLV2-8
967,IGLV3-1
964,IGLV3-10
962,IGLV3-12
960,IGLV3-16
959,IGLV3-19
958,IGLV3-21
956,IGLV3-25
955,IGLV3-27
965,IGLV3-9
942,IGLV4-60
941,IGLV4-69
949,IGLV5-45
946,IGLV5-48
943,IGLV6-57
951,IGLV7-43
948,IGLV7-46
945,IGLV9-49
940,IGLVI-70
772,IGSF6
96,IL10
318,IL12B
306,IL13
357,IL17A
797,IL17C
358,IL17F
155,IL1A
156,IL1B
152,IL1R2
153,IL1RL1
157,IL1RN
269,IL2
270,IL21
627,IL22
369,IL22RA2
97,IL24
559,IL2RA
303,IL3
478,IL33
307,IL4
926,IL4I1
305,IL5
376,IL6
284,IL7R
384,INHBA
422,INSIG1
858,INSM1
891,INSR
796,IRF8
0,ISG15
756,ISLR
831,ITGA3
164,ITGA6
163,ITGB6
375,ITGB8
73,ITLN1
241,JCHAIN
886,JSRP1
235,KDR
582,KIF11
89,KIF14
754,KIF23
234,KIT
931,KLK10
932,KLK11
933,KLK12
928,KLK5
929,KLK6
930,KLK7
597,KLRB1
601,KLRC1
600,KLRD1
834,KPNA2
616,KRT1
821,KRT13
824,KRT14
822,KRT15
825,KRT16
826,KRT17
619,KRT18
823,KRT19
818,KRT23
617,KRT4
615,KRT5
614,KRT6A
611,KRT7
618,KRT8
613,KRT81
612,KRT86
820,KRTAP2-3
819,KRTAP3-1
847,LAMA3
99,LAMB3
84,LAMC2
220,LAMP3
857,LAMP5
48,LCE3A
497,LCN1
494,LCN2
103,LEFTY2
94,LEMD1
410,LEP
982,LGALS2
676,LGMN
632,LGR5
814,LHX1
977,LIF
936,LILRA4
113,LINC00309
72,LINC01133
41,LINC01632
424,LINC02154
669,LINC02303
554,LINC02730
333,LINC02829
654,LINC03061
301,LIX1
151,LONRF2
302,LOX
443,LPL
406,LRRC17
338,LTB
192,LTF
635,LUM
475,LY6D
476,LY6H
159,LYPD1
473,LYPD2
507,LYVE1
629,LYZ
150,MAL
466,MAL2
297,MAP1B
158,MARCO
550,MCAM
893,MCEMP1
683,MEG3
412,MEST
595,MFAP5
603,MGP
604,MGST1
588,MKI67
539,MMP1
538,MMP10
974,MMP11
541,MMP12
542,MMP13
622,MMP19
540,MMP3
536,MMP7
537,MMP8
876,MMP9
259,MMRN1
560,MRC1
867,MROH8
516,MS4A1
514,MS4A2
515,MS4A4A
765,MSLN
565,MSMB
781,MT1A
779,MT1E
782,MT1F
783,MT1G
784,MT1H
780,MT1M
785,MT1X
778,MT2A
777,MT3
61,MUC1
404,MUC12
895,MUC16
335,MUC21
225,MUC4
502,MUC5B
621,MUCL1
869,MYBL2
527,MYEOV
771,MYH11
639,MYL2
266,MYOZ2
310,MZB1
230,NCAPG
391,NCF1
471,NDRG1
623,NDUFA4L2
934,NKG7
105,NLRP3
761,NMB
236,NMU
341,NOTCH4
753,NOX5_ENSG00000255346
6,NPPB
768,NPW
378,NPY
633,NTS
775,NUPR1
743,NUSAP1
642,OASL
488,OGN
989,OLIG2
599,OLR1
978,OSM
38,OVGP1
498,PAEP
431,PAGE1
433,PAGE2
432,PAGE4
585,PAX2
271,PCDH10
650,PCDH17
880,PCK1
752,PCLAF
403,PCOLCE
991,PCP4
429,PCSK1N
402,PDK4
279,PDLIM3
26,PDZK1IP1
400,PEG10
455,PENK
370,PERP
457,PI15
870,PI3
37,PIFO
430,PIM2
419,PIP
464,PKHD1L1
367,PKIB
7,PLA2G2A
8,PLA2G2D
353,PLA2G7
255,PLAC8
452,PLAT
571,PLAU
793,PLCG2
287,PLCXD3
686,PLD4
114,PLEK
479,PLIN2
774,PLK1
875,PLTP
901,PLVAP
637,PMCH
448,PNOC
413,PODXL
401,PON1
648,POSTN
245,PPBP
908,PPP1R14A
569,PRF1
85,PRG4
51,PRR9
416,PRSS1
417,PRSS2
533,PRSS23
500,PTGDS
877,PTGIS
86,PTGS2
631,PTPRB
409,PTPRZ1
319,PTTG1
217,PTX3
981,PVALB
827,RAMP2
386,RAMP3
218,RARRES1
421,RARRES2
800,RASD1
209,RBP1
5,RBP7
990,RCAN1
456,RDH10
120,REG1A
119,REG1B
118,REG3G
93,REN
605,RERGL
892,RETN
83,RGS16
77,RGS4
78,RGS5
762,RHCG
659,RNASE1
553,ROBO4
281,ROPN1L
789,RRAD
108,RRM2
107,RSAD2
994,RSPH1
352,RSPH9
59,S100A1
53,S100A12
58,S100A14
57,S100A2
56,S100A7
55,S100A7A
54,S100A8
52,S100A9
997,S100B
227,S100P
509,SAA1
508,SAA2
907,SBSN
447,SCARA5
182,SCG2
523,SCGB1A1
517,SCGB1D1
519,SCGB1D2
521,SCGB1D4
518,SCGB2A1
520,SCGB2A2
477,SCX
641,SDS
850,SEC11C
81,SELE
288,SELENOP
395,SEMA3E
679,SERPINA5
678,SERPINA6
855,SERPINB2
853,SERPINB3
852,SERPINB4
854,SERPINB7
405,SERPINE1
183,SERPINE2
15,SFN
451,SFRP1
273,SFRP2
382,SFRP4
888,SHD
849,SIGLEC15
71,SLAMF9
363,SLC16A10
835,SLC16A6
586,SLC18A2
899,SLC1A6
21,SLC2A1
593,SLC2A3
232,SLC34A2
262,SLC39A8
170,SLC40A1
436,SLC6A14
263,SLC9B2
208,SLCO2A1
543,SLN
871,SLPI
472,SLURP1
474,SLURP2
837,SMIM6
574,SNCG
198,SNTN
231,SOD3
828,SOST
454,SOX17
884,SOX18
327,SOX4
441,SPAG11B
316,SPARC
256,SPARCL1
350,SPDEF
927,SPIB
313,SPINK1
238,SPINK2
314,SPINK6
226,SPON2
258,SPP1
49,SPRR2A
50,SPRR2F
221,SST
194,STAB1
444,STC1
321,STC2
396,STEAP4
27,TACSTD2
548,TAGLN
45,TCHH
450,TCIM
680,TCL1A
513,TCN1
275,TDO2
993,TFF3
397,TFPI2
309,TGFBI
868,TGM2
859,THBD
742,THBS1
372,THBS2
44,THEM5
755,THSD4
317,TIMD4
428,TIMP1
979,TIMP3
841,TK1
215,TM4SF1
214,TM4SF18
833,TMEM100
190,TMEM158
938,TMEM190
435,TMEM31
39,TMIGD3
549,TMPRSS4
492,TNC
337,TNF
684,TNFAIP2
161,TNFAIP6
465,TNFRSF11B
770,TNFRSF17
1,TNFRSF18
2,TNFRSF4
3,TNFRSF9
219,TNFSF10
937,TNNT1
816,TNS4
815,TOP2A
790,TPPP3
767,TPSAB1
766,TPSB2
865,TPX2
662,TRAC
660,TRAV17
418,TRBC1
661,TRDC
351,TREM2
383,TRGC2
205,TRH
24,TSPAN1
426,TSPAN7
180,TUBA4B
844,TYMS
874,UBE2C
900,UCA1
233,UCHL1
570,UNC5B-AS1
203,UPK1B
392,UPK3B
267,USP53
299,VCAN
798,VMO1
973,VPREB3
434,VSIG4
590,VWF
493,WDR38
795,WFDC1
872,WFDC2
976,XBP1
80,XCL1
79,XCL2
191,XCR1
110,XDH
188,XIRP1
838,ZACN
193,ZMYND10
992,ZNF295-AS1
14,ZNF683


























































































