,gene
1563,STBD1
1514,STIM2
1241,STIMATE
1938,STK10
1045,STK16
987,STK17B
1093,STK25
1038,STK36
941,STK39
174,STK40
1005,STRADB
327,STRIP1
729,STRN
1145,STT3B
127,STX12
522,STX6
317,STXBP3
821,SUCLG1
1263,SUCLG2
1099,SUMF1
1006,SUMO1
709,SUPT7L
107,SYF2
1902,SYNPO
1619,SYNPO2
72,SZRD1
204,SZT2
1489,TADA2B
1106,TADA3
133,TAF12
664,TAF1B
1877,TAF7
460,TAGLN2
1118,TAMM41
930,TANC1
936,TANK
625,TARBP1
1714,TARS
371,TARS2
1247,TASOR
583,TATDN3
1517,TBC1D1
1488,TBC1D14
1134,TBC1D5
1998,TBC1D7
865,TBC1D8
1639,TBC1D9
1970,TBC1D9B
627,TBCE
1605,TBCK
1404,TBL1XR1
98,TCEA3
1890,TCERG1
1899,TCOF1
1208,TCTA
1778,TENT2
1697,TENT4A
1601,TET2
796,TEX261
1283,TFG
973,TFPI
1448,TFRC
1848,TGFBI
1144,TGFBR2
823,TGOLN2
1094,THAP4
426,THBS3
128,THEMIS2
1923,THG1L
838,THNSL2
1257,THOC7
173,THRAP3
792,TIA1
550,TIMM17A
1304,TIMMDC1
144,TINAGL1
499,TIPRL
1244,TKT
946,TLK1
1653,TLR2
247,TM2D1
1372,TM4SF1
1660,TMA16
1033,TMBIM1
493,TMCO1
1871,TMCO6
297,TMED5
1812,TMED7
1957,TMED9
844,TMEM127
1471,TMEM129
1996,TMEM14C
831,TMEM150A
1542,TMEM165
1780,TMEM167A
319,TMEM167B
1859,TMEM173
1462,TMEM175
650,TMEM18
1661,TMEM192
697,TMEM214
122,TMEM222
149,TMEM234
1528,TMEM33
162,TMEM35B
890,TMEM37
1430,TMEM41A
1125,TMEM43
1444,TMEM44
1282,TMEM45A
109,TMEM50A
157,TMEM54
241,TMEM59
603,TMEM63A
215,TMEM69
880,TMEM87B
547,TMEM9
1265,TMF1
1816,TNFAIP8
23,TNFRSF14
61,TNFRSF1B
32,TNFRSF25
1402,TNFSF10
1400,TNIK
1907,TNIP1
1447,TNK2
1763,TNPO1
1029,TNS1
1281,TOMM70
1140,TOP2B
517,TOR1AIP1
515,TOR3A
596,TP53BP2
685,TP53I3
537,TPR
1328,TPRA1
25,TPRG1L
807,TPRKB
1432,TRA2B
1083,TRAF3IP1
576,TRAF5
1168,TRAK1
1004,TRAK2
1156,TRANK1
1675,TRAPPC11
653,TRAPPC12
1750,TRAPPC13
171,TRAPPC3
672,TRIB2
1652,TRIM2
1749,TRIM23
341,TRIM33
1974,TRIM41
1976,TRIM52
1704,TRIO
1061,TRIP12
188,TRIT1
535,TRMT1L
1494,TRMT44
132,TRNAU1AP
531,TSEN15
894,TSN
1949,TSPAN17
469,TSTD1
1927,TTC1
619,TTC13
1409,TTC14
817,TTC31
1727,TTC33
1788,TTC37
756,TTC7A
881,TTL
1108,TTLL3
1046,TUBA4A
235,TUT4
148,TXLNA
230,TXNDC12
1845,TXNDC15
1993,TXNDC5
861,TXNDC9
357,TXNIP
1365,U2SURP
488,UAP1
1266,UBA3
1215,UBA7
410,UBAP2L
1838,UBE2B
1860,UBE2D2
1139,UBE2E1
1138,UBE2E2
965,UBE2E3
5,UBE2J2
1522,UBE2K
413,UBE2Q1
49,UBE4B
1926,UBLCP1
1153,UBP1
440,UBQLN4
944,UBR3
77,UBR4
1939,UBTD2
115,UBXN11
683,UBXN2A
913,UBXN4
540,UCHL5
474,UFC1
1682,UFSP2
1521,UGDH
903,UGGT1
778,UGP2
487,UHMK1
858,UNC50
1192,UQCRC1
1833,UQCRQ
211,UROD
470,USF1
1557,USO1
249,USP1
1204,USP19
475,USP21
243,USP24
266,USP33
772,USP34
1641,USP38
832,USP39
1206,USP4
1076,USP40
88,USP48
1620,USP53
1550,UTP3
1469,UVSSA
871,UXS1
38,VAMP3
830,VAMP5
829,VAMP8
313,VAV3
307,VCAM1
1781,VCAN
1837,VDAC1
1117,VGLL4
1114,VHL
62,VPS13D
364,VPS45
779,VPS54
383,VPS72
1428,VPS8
768,VRK2
12,VWA1
124,WASF2
1055,WDFY1
1575,WDFY3
1495,WDR1
599,WDR26
347,WDR3
901,WDR33
1804,WDR36
1773,WDR41
714,WDR43
1164,WDR48
813,WDR54
1873,WDR55
1199,WDR6
1722,WDR70
976,WDR75
331,WDR77
1230,WDR82
931,WDSUB1
121,WDTC1
955,WIPF1
26,WRAP73
1979,WRNIP1
1931,WWC1
1373,WWTR1
1126,XPC
773,XPO1
521,XPR1
1025,XRCC5
1364,XRN1
155,YARS
1416,YEATS2
239,YIPF1
722,YIPF4
1888,YIPF5
716,YPEL5
1549,YTHDC1
1809,YTHDC2
134,YTHDF2
663,YWHAQ
433,YY1AP1
1284,ZBTB11
70,ZBTB17
639,ZBTB18
1301,ZBTB20
510,ZBTB37
1361,ZBTB38
90,ZBTB40
1171,ZBTB47
35,ZBTB48
419,ZBTB7B
970,ZC3H15
142,ZCCHC17
118,ZDHHC18
1176,ZDHHC3
919,ZEB2
1041,ZFAND2B
745,ZFP36L2
1713,ZFR
1475,ZFYVE28
232,ZFYVE9
1876,ZMAT2
1405,ZMAT3
191,ZMPSTE24
165,ZMYM4
163,ZMYM6
1731,ZNF131
1457,ZNF141
1324,ZNF148
292,ZNF326
1640,ZNF330
1950,ZNF346
159,ZNF362
97,ZNF436
1173,ZNF445
646,ZNF496
707,ZNF512
1166,ZNF621
1708,ZNF622
800,ZNF638
293,ZNF644
647,ZNF692
1646,ZNF827
1174,ZNF852
278,ZNHIT6
261,ZRANB2
1326,ZXDC
