,gene
1098,CRBN
1016,CREB1
495,CREG1
1111,CRELD1
727,CRIM1
1152,CRTAP
405,CRTC2
1276,CRYBG3
262,CRYZ
343,CSDE1
325,CSF1
1897,CSF1R
1467,CTBP1
274,CTBS
1035,CTDSP1
1855,CTNNA1
1167,CTNNB1
47,CTNNBIP1
376,CTSK
1656,CTSO
375,CTSS
335,CTTNBP2NL
1056,CUL3
964,CWC22
1747,CWC27
1847,CXCL14
1560,CXCL9
915,CXCR4
557,CYB5R1
947,CYBRD1
1921,CYFIP2
735,CYP1B1
1684,CYP4V2
1862,CYSTM1
927,CYTIP
238,CZIB
1097,D2HGDH
1726,DAB2
1210,DAG1
1703,DAP
434,DAP3
914,DARS
509,DARS2
889,DBI
1504,DCAF16
498,DCAF6
463,DCAF8
1278,DCBLD2
1553,DCK
1245,DCP1A
1674,DCTD
812,DCTN1
1904,DCTN4
1412,DCUN1D1
1537,DCUN1D4
276,DDAH1
66,DDI2
84,DDOST
673,DDX1
887,DDX18
1955,DDX41
1843,DDX46
1664,DDX60L
473,DEDD
598,DEGS1
1882,DELE1
544,DENND1B
330,DENND2D
404,DENND4B
1251,DENND6A
641,DESI2
53,DFFA
1075,DGKD
1463,DGKQ
810,DGUOK
63,DHRS3
1507,DHX15
1188,DHX30
1381,DHX36
526,DHX9
1878,DIAPH1
1746,DIMT1
1367,DIPK2A
1070,DIS3L2
621,DISC1
1454,DLG1
208,DMAP1
1815,DMXL1
1434,DNAJB11
1595,DNAJB14
1047,DNAJB2
968,DNAJC10
1346,DNAJC13
1718,DNAJC21
129,DNAJC8
690,DNMT3A
1048,DNPEP
299,DNTTIP2
1057,DOCK10
1935,DOCK2
250,DOCK7
1132,DPH3
309,DPH5
423,DPM3
720,DPY30
303,DPYD
1891,DPYSL3
298,DR1
329,DRAM2
1710,DROSHA
1317,DTX3L
1940,DUSP1
808,DUSP11
484,DUSP12
1977,DUSP22
459,DUSP23
8,DVL1
1420,DVL3
948,DYNC1I2
746,DYNC2LI1
801,DYSF
201,EBNA1BP2
87,ECE1
236,ECHDC2
372,ECM1
1102,EDEM1
533,EDEM3
505,EEF1AKNMT
1013,EEF1B2
222,EFCAB14
65,EFHD2
421,EFNA1
1799,EFNA5
1853,EGR1
776,EHBP1
1165,EIF1B
1378,EIF2A
731,EIF2AK2
839,EIF2AK3
1419,EIF2B5
570,EIF2D
150,EIF3I
1435,EIF4A2
1591,EIF4E
1071,EIF4E2
1270,EIF4E3
1866,EIF4EBP3
1425,EIF4G1
86,EIF4G3
862,EIF5B
652,EIPR1
1634,ELF2
564,ELK4
1791,ELL2
1638,ELMOD2
825,ELMOD3
100,ELOA
202,ELOVL1
1186,ELP6
78,EMC1
1112,EMC3
700,EMILIN1
741,EML4
600,ENAH
1767,ENC1
43,ENO1
1571,ENOPH1
1264,EOGT
752,EPAS1
135,EPB41
921,EPC2
602,EPHX1
1157,EPM2AIP1
588,EPRS
227,EPS15
1751,ERBIN
897,ERCC3
1941,ERGIC1
209,ERI3
762,ERLEC1
631,ERO1B
41,ERRFI1
456,ETV3
1433,ETV5
1484,EVC
295,EVI5
1689,EXOC3
802,EXOC6B
55,EXOSC10
1177,EXOSC7
1623,EXOSC9
468,F11R
1771,F2R
225,FAF1
1947,FAF2
