,gene,highly_variable_rank
0,ISG15,242.0
1,AGRN,425.0
2,MXRA8,574.0
3,VWA1,648.5
4,SKI,641.0
5,KCNAB2,540.0
6,ICMT,880.0
7,TNFRSF25,545.5
8,CAMTA1,819.5
9,PARK7,346.0
10,ERRFI1,332.0
11,ENO1,200.0
12,SRM,898.0
13,TNFRSF1B,895.0
14,DHRS3,222.0
15,EFHD2,532.5
16,FBLIM1,617.0
17,EMC1,903.5
18,MICOS10,830.0
19,CAMK2N1,721.5
20,DDOST,233.0
21,ECE1,743.0
22,HSPG2,302.5
23,C1QA,151.0
24,C1QC,176.0
25,C1QB,53.0
26,ZNF436,498.0
27,TCEA3,794.0
28,ID3,249.5
29,PNRC2,906.0
30,SRSF10,675.0
31,RCAN3,774.0
32,CLIC4,62.0
33,SYF2,824.5
34,TMEM50A,315.0
35,SH3BGRL3,309.0
36,CD52,87.0
37,FGR,463.0
38,IFI6,283.5
39,THEMIS2,475.0
40,ATP5IF1,276.0
41,EPB41,278.0
42,LAPTM5,438.0
43,SDC3,934.0
44,PUM1,400.0
45,SERINC2,201.0
46,TINAGL1,556.0
47,COL16A1,163.5
48,MARCKSL1,524.0
49,KIAA1522,556.0
50,TMEM54,545.0
51,ZMYM4,910.0
52,KIAA0319L,858.0
53,MAP7D1,705.0
54,INPP5B,725.0
55,FHL3,767.0
56,NDUFS5,794.5
57,MACF1,240.0
58,HEYL,625.0
59,ZMPSTE24,836.5
60,SMAP2,227.0
61,CITED4,783.0
62,FOXJ3,821.0
63,SLC2A1,349.0
64,EBNA1BP2,839.0
65,PTPRF,629.0
66,ATP6V0B,887.0
67,PIK3R3,368.0
68,LRRC41,106.0
69,PDZK1IP1,170.0
70,CMPK1,888.0
71,BTF3L4,903.0
72,PRPF38A,726.0
73,TUT4,725.0
74,SCP2,680.5
75,CZIB,567.0
76,SSBP3,281.0
77,USP24,902.0
78,JUN,706.0
79,PATJ,316.5
80,JAK1,799.0
81,LEPROT,518.0
82,GADD45A,843.5
83,CRYZ,581.0
84,ACADM,469.0
85,RABGGTB,647.0
86,NEXN,476.5
87,IFI44L,246.0
88,IFI44,412.5
89,DDAH1,538.0
90,CCN1,121.0
91,ODF2L,919.5
92,SH3GLB1,523.0
93,SELENOF,362.0
94,LMO4,720.5
95,GBP1,206.5
96,GBP2,534.0
97,GBP4,318.0
98,LRRC8D,670.0
99,DNTTIP2,678.0
100,ABCD3,600.0
101,CNN3,329.0
102,VCAM1,442.0
103,S1PR1,593.0
104,VAV3,413.0
105,SORT1,522.0
106,PSMA5,772.0
