,gene,highly_variable_rank
107,CD53,207.0
108,C1orf162,408.0
109,SLC16A1,535.5
110,OLFML3,831.5
111,TRIM33,652.0
112,NRAS,863.5
113,ATP1A1,561.0
114,PTGFRN,362.5
115,SEC22B,767.5
116,PEX11B,678.0
117,TXNIP,385.5
118,GPR89B,486.0
119,PDE4DIP,738.0
120,HIST2H2AB,223.5
121,PLEKHO1,833.0
122,ANP32E,766.0
123,PRPF3,873.0
124,TARS2,930.0
125,MCL1,333.0
126,CTSS,134.0
127,CTSK,666.0
128,CERS2,395.0
129,CDC42SE1,190.5
130,S100A10,309.0
131,S100A11,314.0
132,S100A9,133.0
133,S100A8,101.5
134,S100A6,430.0
135,S100A4,880.0
136,S100A16,553.0
137,INTS3,619.5
138,RAB13,878.0
139,ATP8B2,500.0
140,IL6R,899.0
141,ADAR,491.0
142,ADAM15,782.0
143,EFNA1,735.0
144,SLC50A1,533.5
145,MUC1,138.0
146,LMNA,926.0
147,NES,937.0
148,HDGF,786.0
149,DUSP23,629.0
150,TAGLN2,435.0
151,PEA15,547.0
152,DCAF8,859.0
153,NCSTN,852.0
154,CD84,481.0
155,ADAMTS4,231.5
156,FCER1G,145.0
157,FCGR2A,904.5
158,FCGR3A,226.0
159,FCGR2B,619.0
160,ATF6,856.0
161,OLFML2B,374.0
162,RGS5,55.0
163,PBX1,890.5
164,MGST3,500.0
165,CREG1,697.0
166,RCSD1,540.0
167,MPC2,243.0
168,ATP1B1,230.0
169,SOAT1,684.0
170,QSOX1,866.0
171,GLUL,472.0
172,NPL,855.0
173,ARPC5,842.0
174,TSEN15,912.0
175,C1orf21,626.0
176,NIBAN1,758.0
177,IVNS1ABP,435.0
178,RGS1,216.0
179,RGS2,474.5
180,CFH,397.5
181,PTPRC,100.0
182,PPP1R12B,353.5
183,BTG2,434.5
184,SOX13,563.5
185,PPP1R15B,851.0
186,CDK18,563.5
187,ELK4,844.5
188,RHEX,634.5
189,CD55,512.5
190,CD34,408.0
191,TRAF5,832.5
192,SLC30A1,883.0
193,NENF,788.0
194,ATF3,198.0
195,TATDN3,933.0
196,KCTD3,695.0
197,LYPLAL1,515.0
198,IARS2,512.0
199,CAPN2,884.0
200,DEGS1,38.0
201,SDE2,901.0
202,COQ8A,388.5
203,GUK1,653.0
204,RAB4A,591.0
205,C1orf198,304.0
206,PCNX2,743.5
207,NID1,765.0
208,GPR137B,629.0
209,LGALS8,939.0
210,AKT3,650.5
211,DESI2,701.0
212,SCCPDH,318.5
213,SH3YL1,270.0
214,PXDN,482.0
215,ADI1,648.0
216,ID2,464.0
217,ASAP2,468.0
218,HPCAL1,659.0
219,ODC1,550.0
220,PDIA6,860.0
221,LPIN1,840.0
222,TRIB2,847.0
223,FAM49A,860.0
224,LAPTM4A,844.5
225,SDC1,235.0
226,RHOB,269.0
227,SF3B6,747.0
228,TP53I3,722.0
229,HADHA,889.0
230,HADHB,583.0
231,EMILIN1,349.5
232,PREB,798.5
233,IFT172,891.5
234,CLIP4,574.5
235,LBH,544.5
236,GALNT14,361.0
237,DPY30,826.5
238,LTBP1,257.0
239,RASGRP3,819.0
240,CRIM1,110.0
241,EIF2AK2,453.0
242,CEBPZOS,809.0
243,CYP1B1,268.0
244,ATL2,769.0
245,HNRNPLL,617.0
246,SLC8A1,924.0
247,EML4,653.0
248,COX7A2L,451.0
249,ZFP36L2,144.0
250,PPM1B,847.0
251,EPAS1,679.0
252,FOXN2,675.0
253,REL,907.0
254,MDH1,376.0
255,PLEK,535.0
256,ARHGAP25,772.0
257,ANTXR1,508.5
258,ANXA4,152.0
259,NAGK,635.0
260,DYSF,810.0
261,SPR,625.5
262,RTKN,718.0
263,CAPG,520.5
264,MAT2A,347.0
265,VAMP8,765.5
266,TMEM150A,817.5
267,THNSL2,666.5
268,EIF2AK3,472.0
269,RPIA,659.0
270,IGKC,2.0
271,ANKRD36C,788.0
272,ANKRD39,716.0
273,ACTR1B,894.0
274,INPP4A,747.5
275,MGAT4A,473.0
276,REV1,695.0
277,TBC1D8,758.0
278,MAP4K4,472.0
279,IL1R1,502.5
280,RANBP2,486.0
281,SEPTIN10,803.5
282,MERTK,632.0
283,SLC20A1,938.5
284,PAX8,314.5
285,SLC35F5,791.0
286,ACTR3,751.0
287,DBI,529.0
288,TMEM37,718.0
289,GYPC,938.0
290,BIN1,507.5
291,LIMS2,745.0
292,FAM168B,595.0
293,MGAT5,349.5
294,CXCR4,354.0
295,HNMT,620.0
296,ARHGAP15,939.5
297,MMADHC,816.0
298,FMNL2,819.0
299,CYTIP,382.5
300,CD302,886.5
301,ITGB6,53.5
302,RBMS1,663.0
303,IFIH1,583.0
304,STK39,198.0
305,ITGA6,385.5
306,WIPF1,363.0
307,ATP5MC3,564.0
308,HNRNPA3,745.0
309,NFE2L2,356.0
310,ITGA4,601.5
311,ITGAV,807.5
312,CALCRL,820.0
313,COL3A1,180.0
314,COL5A2,461.0
315,SLC40A1,125.0
316,GLS,814.5
317,STAT1,252.0
318,CAVIN2,427.0
319,STK17B,498.0
320,GTF3C3,864.0
321,ANKRD44,498.0
322,HSPD1,645.5
323,HSPE1,440.0
324,BZW1,627.0
325,STRADB,225.0
326,SUMO1,910.5
327,NOP58,673.0
328,BMPR2,395.0
329,NRP2,427.0
330,EEF1B2,497.5
331,FN1,191.5
332,IGFBP2,473.0
333,IGFBP5,98.0
334,TNS1,323.0
335,SLC11A1,408.0
336,CTDSP1,590.0
337,CHPF,549.0
338,OBSL1,537.0
339,SGPP2,524.0
340,DOCK10,712.0
341,MFF,760.0
342,NCL,853.0
343,INPP5D,585.5
344,ATG16L1,546.5
345,COL6A3,110.0
346,COPS9,440.5
347,ATG4B,937.0
348,BHLHE40,670.0
349,EDEM1,704.0
350,TADA3,872.0
351,ARPC4,403.0
352,SEC13,852.5
353,VGLL4,746.0
354,NUP210,827.0
355,FBLN2,113.5
356,SH3BP5,385.0
357,SATB1,752.0
358,SLC4A7,371.0
359,CMC1,438.0
360,RBMS3,825.0
361,TGFBR2,597.0
362,STT3B,510.0
363,GPD1L,779.5
364,ITGA9,757.0
365,ACAA1,814.5
366,TRAK1,914.0
367,NKTR,822.0
368,ZBTB47,502.0
369,SNRK,885.0
370,ZDHHC3,894.0
371,CLEC3B,753.5
372,CCDC12,601.0
373,DHX30,854.0
374,WDR6,519.0
375,LAMB2,169.0
376,RHOA,574.0
377,MST1,859.0
378,RBM6,578.5
379,RBM5,318.0
380,SEMA3F,312.0
381,GNAI2,567.0
382,HYAL2,354.5
383,MANF,782.5
384,WDR82,713.0
385,NISCH,428.0
386,STAB1,704.0
387,NT5DC2,734.0
388,PBRM1,918.0
389,MUSTN1,130.0
390,STIMATE,881.0
391,TKT,759.5
392,APPL1,901.0
393,DENND6A,694.0
394,FLNB,771.0
395,PDHB,594.0
396,THOC7,628.0
397,ATXN7,795.0
398,ADAMTS9,544.0
399,ARL6IP5,457.5
400,FOXP1,711.0
401,PROS1,198.5
402,CLDND1,759.5
403,FILIP1L,454.0
404,TMEM45A,382.0
405,TFG,743.0
406,CD96,327.0
407,CD200,845.0
408,CCDC80,69.5
409,ZBTB20,513.5
410,FSTL1,344.0
411,HCLS1,279.0
412,CD86,415.0
413,PARP9,738.5
414,PARP14,354.0
415,PDIA5,679.0
416,MYLK,215.0
417,ITGB5,724.5
418,HEG1,705.0
419,MGLL,810.0
420,RAB7A,913.0
421,H1FX,298.0
422,PLXND1,459.0
423,ACAD11,394.0
424,PIK3CB,660.0
425,RASA2,542.5
426,PLOD2,197.0
427,PLSCR1,755.0
428,CP,63.0
429,TM4SF1,288.0
430,PFN2,877.0
431,EIF2A,227.5
432,SSR3,231.5
433,MFSD1,921.0
434,TNFSF10,337.0
435,NCEH1,819.0
436,NDUFB5,872.0
437,MCCC1,535.0
438,KLHL6,561.0
439,YEATS2,560.0
440,PARL,500.0
441,POLR2H,612.0
442,MAGEF1,760.0
443,TMEM41A,891.0
444,DNAJB11,686.5
445,ST6GAL1,329.0
446,BCL6,189.0
447,CLDN1,309.5
448,ATP13A3,844.5
449,MUC20,623.0
450,TFRC,315.0
451,ATP5ME,404.0
452,SPON2,214.5
453,SLBP,320.0
454,MXD4,880.5
455,SH3BP2,691.0
456,EVC,705.0
457,MRFAP1L1,776.0
458,FBXL5,431.0
459,FAM200B,555.0
460,QDPR,841.0
461,LAP3,286.0
462,SOD3,100.0
463,SEL1L3,418.0
464,SMIM20,871.0
465,PGM2,895.0
466,TBC1D1,826.5
467,RFC1,596.0
468,UGDH,472.0
469,LIMCH1,816.0
470,ATP8A1,798.0
471,OCIAD1,596.0
472,OCIAD2,390.0
473,DCUN1D4,564.0
474,CHIC2,819.0
475,PDGFRA,335.0
476,IGFBP7,384.5
477,YTHDC1,917.0
478,RUFY3,855.0
479,PARM1,397.0
480,CXCL9,12.0
481,SCARB2,693.0
482,SEPTIN11,885.0
483,CNOT6L,929.0
484,BMP2K,549.0
485,ANTXR2,909.0
486,HNRNPDL,816.0
487,ABRAXAS1,693.0
488,AFF1,772.0
489,SPARCL1,144.0
490,SPP1,43.0
491,PPM1K,913.0
492,FAM13A,550.0
493,METAP1,827.0
494,TET2,873.0
495,HADH,665.0
496,CASP6,597.0
497,ANK2,325.0
498,SYNPO2,25.0
499,ANXA5,673.0
500,SPRY1,259.5
501,NDUFC1,706.5
502,ELMOD2,928.0
503,SMARCA5,846.0
504,ABCE1,935.0
505,LSM6,780.0
506,TRIM2,772.5
507,TLR2,848.0
508,CTSO,925.0
509,GASK1B,629.0
510,TMA16,513.0
511,KLHL2,920.0
512,CPE,405.0
513,PALLD,545.0
514,CLCN3,676.0
515,IRF2,788.0
516,SLC25A4,483.0
517,ANKRD37,566.0
518,PDLIM3,184.0
519,CYP4V2,813.0
520,FAT1,557.0
521,SDHA,828.0
522,SLC12A7,681.0
523,CLPTM1L,897.5
524,LPCAT1,82.0
525,CCT5,611.0
526,CMBL,155.0
527,GOLPH3,461.0
528,AMACR,644.5
529,IL7R,93.0
530,SLC1A3,620.5
531,OSMR,836.5
532,FYB1,524.0
533,DAB2,384.0
534,SELENOP,176.0
535,PARP8,176.0
536,ITGA1,745.0
537,ITGA2,781.0
538,NDUFS4,656.0
539,PLPP1,542.0
540,PLK2,559.0
541,SREK1,882.0
542,MAST4,812.0
543,NAIP,622.5
544,F2R,703.0
545,TMEM167A,816.5
546,VCAN,221.0
547,COX7C,63.0
548,ARRDC3,629.0
549,MCTP1,933.0
550,GLRX,410.0
551,CHD1,670.0
552,FAM174A,504.0
553,ST8SIA4,862.0
554,PAM,841.0
555,EFNA5,684.0
556,SRP19,834.5
557,FEM1C,912.0
558,ATG12,388.0
559,TNFAIP8,530.5
560,LOX,604.0
561,SNX2,810.0
562,P4HA2,440.0
563,IRF1,411.0
564,UQCRQ,691.5
565,HSPA4,400.0
566,VDAC1,208.0
567,UBE2B,702.0
568,H2AFY,741.0
569,CXCL14,102.0
570,TGFBI,103.0
571,HNRNPA0,890.5
572,EGR1,44.0
573,HSPA9,776.0
574,MATR3,677.0
575,PFDN1,575.0
576,EIF4EBP3,767.0
577,CD14,700.0
578,NDUFA2,815.5
579,RNF14,672.0
580,ARHGAP26,845.0
581,DPYSL3,361.0
582,CSF1R,894.0
583,PDGFRB,576.0
584,CD74,311.0
585,NDST1,694.0
586,SYNPO,764.5
587,GPX3,218.0
588,CCDC69,546.0
589,SPARC,53.0
590,HAVCR1,173.5
591,HAVCR2,454.5
592,CYFIP2,865.0
593,ADAM19,666.0
594,CLINT1,743.0
595,CCNG1,529.5
596,WWC1,368.0
597,SLIT3,239.0
598,DOCK2,658.0
599,LCP2,621.0
600,DUSP1,522.0
601,ERGIC1,273.0
602,BOD1,607.0
603,CPEB4,289.0
604,SFXN1,523.0
605,LMAN2,564.0
606,PDLIM7,687.0
607,NHP2,352.0
608,HNRNPAB,893.5
609,ADAMTS2,666.0
610,CANX,348.0
611,MGAT4B,595.0
612,SQSTM1,158.0
613,TRIM52,938.0
614,SERPINB9,664.0
615,NQO2,939.5
616,TXNDC5,222.0
617,BLOC1S5,838.0
618,SLC35B3,460.0
619,NEDD9,747.0
620,RANBP9,936.0
621,TDP2,634.5
622,GMNN,699.0
623,HIST1H4A,158.5
624,HIST1H4B,436.0
625,HIST1H2BB,134.0
626,HIST1H4C,257.0
627,HIST1H1E,388.0
628,HIST1H2BD,598.0
629,HIST1H4D,193.0
630,HIST1H3D,182.5
631,HIST1H2AD,208.0
632,HIST1H4E,374.0
633,HIST1H2BG,204.5
634,HIST1H2AE,204.0
635,HIST1H1D,663.0
636,HIST1H4F,216.5
637,HIST1H2BH,79.5
638,HIST1H2BI,214.0
639,HIST1H4H,356.0
640,BTN3A3,720.0
641,HIST1H2BJ,198.0
642,HIST1H2AG,40.5
643,HIST1H4I,113.0
644,HIST1H3H,85.0
645,HIST1H2BN,465.0
646,HIST1H1B,38.5
647,HIST1H3I,188.5
648,HIST1H2BO,99.5
649,UBD,132.0
650,HLA-F,413.0
651,HLA-A,708.0
652,TRIM26,506.0
653,RPP21,930.0
654,HLA-E,316.0
655,IER3,697.5
656,DDX39B,608.0
657,LST1,238.5
658,AIF1,320.0
659,PRRC2A,700.0
660,BAG6,808.0
661,DDAH2,560.0
662,VARS,825.0
663,HSPA1A,255.0
664,HSPA1B,230.0
665,NEU1,879.5
666,EHMT2,483.0
667,CFB,315.0
668,RNF5,716.0
669,GPSM3,535.5
670,HLA-DRA,150.0
671,TAP2,426.0
672,PSMB9,581.5
673,TAP1,397.0
674,HLA-DMB,211.0
675,HLA-DMA,291.0
676,BRD2,438.0
677,HLA-DOA,686.5
678,HLA-DPA1,117.0
679,HLA-DPB1,131.0
680,VPS52,868.0
681,RGL2,935.0
682,TAPBP,697.0
683,SYNGAP1,876.0
684,DEF6,616.5
685,FKBP5,285.0
686,SRSF3,694.0
687,CDKN1A,709.5
688,FGD2,897.0
689,CCND3,611.0
690,RRP36,737.5
691,SRF,575.0
692,DNPH1,854.0
693,YIPF3,862.5
694,VEGFA,731.5
695,HSP90AB1,372.0
696,CD2AP,408.5
697,ELOVL5,820.0
698,DST,380.0
699,OGFRL1,446.0
700,COL12A1,506.5
701,COX7A2,522.0
702,MYO6,754.5
703,HMGN3,355.5
704,PNISR,684.5
705,CCNC,711.0
706,PRDM1,869.0
707,CD24,184.0
708,SEC63,612.0
709,SNX3,522.0
710,FYN,429.0
711,LAMA4,480.5
712,DCBLD1,589.0
713,GJA1,580.0
714,NCOA7,455.0
715,CCN2,37.0
716,STX7,665.0
717,SGK1,843.5
718,TNFAIP3,809.5
719,HEBP2,442.0
720,REPS1,765.0
721,HECA,575.5
722,CITED2,433.0
723,SF3B5,909.5
724,RMND1,701.5
725,SYNE1,412.5
726,CNKSR3,799.5
727,SNX9,657.0
728,DYNLT1,877.5
729,EZR,187.0
730,SOD2,228.0
731,TCP1,625.0
732,PDE10A,501.0
733,MPC1,310.0
734,RNASET2,82.0
735,THBS2,148.0
736,C7orf50,341.0
737,ZFAND2A,599.0
738,EIF3B,809.5
739,IQCE,380.0
740,ACTB,409.0
741,EIF2AK1,847.5
742,RAC1,744.0
743,KDELR2,405.0
744,ZDHHC4,928.0
745,ICA1,624.0
746,ITGB8,314.0
747,GPNMB,123.0
748,TRA2A,746.0
749,HNRNPA2B1,772.0
750,CBX3,704.0
751,HIBADH,603.0
752,CPVL,592.0
753,GARS,623.5
754,AQP1,189.0
755,FKBP9,483.0
756,SEPTIN7,550.0
757,AOAH,460.0
758,INHBA,252.0
759,PSMA2,631.0
760,AEBP1,42.0
761,YKT6,414.0
762,RAMP3,205.0
763,IGFBP3,66.0
764,IKZF1,205.5
765,GRB10,702.0
766,EGFR,482.0
767,VOPP1,260.0
768,PSPH,657.0
769,SUMF2,591.0
770,CHCHD2,592.0
771,VKORC1L1,572.0
772,GTF2IRD1,799.0
773,GTF2I,675.0
774,TMEM120A,826.0
775,HSPB1,858.0
776,YWHAG,580.5
777,FGL2,140.5
778,CLDN12,643.0
779,CDK14,452.5
780,ANKIB1,907.0
781,SAMD9L,452.0
782,TFPI2,47.0
783,GNG11,371.0
784,COL1A2,101.5
785,PON2,175.0
786,SEM1,828.0
787,ATP5MF,381.5
788,CYP3A5,290.0
789,MCM7,738.5
790,TAF6,642.5
791,LRCH4,525.0
792,PCOLCE,416.5
793,SERPINE1,79.0
794,PLOD3,807.0
795,CUX1,798.0
796,SYPL1,864.5
797,NAMPT,470.5
798,DOCK4,932.5
799,TES,851.0
800,CAV2,426.0
801,CAV1,731.0
802,MET,288.0
803,HILPDA,273.5
804,CALU,610.0
805,ATP6V1F,743.0
806,TSPAN33,604.5
807,CALD1,342.0
808,WDR91,525.0
809,HIPK2,506.5
810,TBXAS1,576.0
811,NDUFB2,505.0
812,TRBC1,67.0
813,TRBC2,61.5
814,ZYX,373.0
815,EZH2,908.5
816,PDIA4,762.0
817,KRBA1,819.0
818,ACTR3C,599.0
819,RARRES2,296.0
820,GIMAP4,558.0
821,GIMAP5,772.0
822,TMEM176B,439.0
823,TMEM176A,306.0
824,SLC4A2,285.0
825,ABCF2,794.0
826,NUB1,934.0
827,WDR60,520.0
828,PPP1R3B,703.5
829,MSRA,895.0
830,CTSB,402.5
831,DLC1,804.0
832,MSR1,379.0
833,CNOT7,761.0
834,ASAH1,466.0
835,CSGALNACT1,667.5
836,INTS10,600.0
837,ATP6V1B2,327.0
838,XPO7,621.0
839,REEP4,927.5
840,SLC39A14,779.0
841,PPP3CC,737.0
842,PDLIM2,648.0
843,CCAR2,906.5
844,CHMP7,912.0
845,LOXL2,526.0
846,STC1,289.0
847,BNIP3L,478.0
848,PNMA2,915.0
849,PTK2B,785.5
850,CLU,76.0
851,LEPROTL1,532.0
852,RBPMS,284.0
853,PPP2CB,386.0
854,EIF4EBP1,705.0
855,PLPP5,820.5
856,TACC1,446.0
857,ADAM9,263.0
858,TCIM,455.5
859,KAT6A,460.0
860,VDAC3,858.0
861,SMIM19,687.5
862,CEBPD,707.5
863,PRKDC,470.0
864,SNAI2,458.0
865,LYN,842.0
866,IMPAD1,261.0
867,ASPH,496.5
868,GGH,713.0
869,PDE7A,546.5
870,SULF1,250.5
871,TRAM1,322.0
872,LACTB2,683.5
873,SBSPON,453.5
874,TPD52,905.0
875,FABP5,321.0
876,ZFAND1,722.0
877,RIPK2,920.0
878,OSGIN2,743.0
879,NBN,829.5
880,TRIQK,763.5
881,GEM,785.0
882,TP53INP1,562.0
883,UQCRB,159.5
884,LAPTM4B,730.0
885,MATN2,535.0
886,COX6C,327.5
887,POLR2K,629.5
888,PABPC1,208.0
889,KLF10,458.0
890,CTHRC1,664.0
891,EIF3E,251.0
892,MAL2,313.0
893,ENPP2,133.0
894,C8orf76,595.0
895,NDUFB9,652.0
896,MYC,422.0
897,FAM49B,761.0
898,ASAP1,424.0
899,PHF20L1,585.0
900,SLA,739.0
901,NDRG1,432.0
902,ST3GAL1,837.0
903,AGO2,778.0
904,PTK2,412.5
905,PTP4A3,314.5
906,LY6E,638.5
907,GSDMD,347.0
908,NRBP2,843.5
909,PLEC,315.0
910,PARP10,866.0
911,GRINA,328.0
912,DOCK8,850.5
913,KANK1,903.0
914,VLDLR,808.0
915,RCL1,681.5
916,RIC1,716.0
917,ERMP1,556.0
918,BNC2,886.5
919,PLIN2,97.0
920,DENND4C,776.0
921,MOB3B,832.0
922,ACO1,743.0
923,NDUFB6,215.5
924,DNAJA1,864.0
925,BAG1,364.0
926,AQP3,605.0
927,TPM2,33.0
928,TLN1,663.5
929,CREB3,860.5
930,ZCCHC7,768.0
931,GRHPR,922.0
932,EXOSC3,733.0
933,DCAF10,482.0
934,KLF9,214.0
935,ZFAND5,358.0
936,ALDH1A1,716.0
937,OSTF1,929.0
938,PRUNE2,399.0
939,GNAQ,384.0
940,GOLM1,688.0
941,CTSL,482.5
942,S1PR3,277.0
943,SEMA4D,284.0
944,PHF2,755.0
945,HABP4,405.0
946,COL15A1,374.0
947,INVS,855.0
948,ZNF189,583.5
949,ABCA1,809.0
950,CTNNAL1,655.0
951,PALM2-AKAP2,847.0
952,PTGR1,489.0
953,UGCG,877.5
954,HSDL2,749.0
955,SLC31A2,787.0
956,SLC31A1,834.0
957,POLE3,662.0
958,RGS3,881.0
959,COL27A1,844.0
960,AKNA,580.0
961,TNC,139.5
962,PHF19,920.0
963,GSN,808.0
964,NDUFA8,500.0
965,PTGS1,454.5
966,NEK6,904.5
967,OLFML2A,428.0
968,HSPA5,613.0
969,ANGPTL2,443.0
970,FPGS,908.0
971,ENG,226.5
972,AK1,817.0
973,ST6GALNAC6,678.0
974,FAM102A,513.5
975,URM1,532.0
976,PTPA,834.0
977,FNBP1,455.5
978,ASS1,154.0
979,FUBP3,699.0
980,PRRC2B,863.0
981,POMT1,714.0
982,COL5A1,216.5
983,QSOX2,925.0
984,EGFL7,529.0
985,PHPT1,752.5
986,DPP7,247.0
987,NRARP,519.5
988,NSMF,569.0
989,EHMT1,874.0
990,IDI1,753.0
991,PFKP,694.0
992,KLF6,454.0
993,NET1,307.5
994,PFKFB3,713.5
995,SFMBT2,520.5
996,PHYH,833.5
997,FAM107B,700.5
998,PTER,309.5
999,RSU1,935.5
1000,VIM,220.0
1001,PLXDC2,629.0
1002,APBB1IP,411.0
1003,ARHGAP12,844.0
1004,ITGB1,411.0
1005,CREM,760.0
1006,CCNY,145.0
1007,CXCL12,176.0
1008,RASSF4,669.0
1009,DEPP1,244.5
1010,ALOX5,526.0
1011,CISD1,786.0
1012,BICC1,270.0
1013,HERC4,457.0
1014,SRGN,182.0
1015,VPS26A,526.0
1016,HK1,870.0
1017,SGPL1,733.5
1018,PCBD1,758.5
1019,VSIR,613.0
1020,DDIT4,449.0
1021,DNAJB12,833.0
1022,P4HA1,394.5
1023,SEC24C,740.0
1024,CHCHD1,650.5
1025,VCL,509.0
1026,VDAC2,783.0
1027,KCNMA1,571.5
1028,DLG5,831.0
1029,ZCCHC24,784.0
1030,ANXA11,466.0
1031,PRXL2A,736.5
1032,TSPAN14,860.0
1033,ADIRF,225.0
1034,PAPSS2,754.0
1035,PTEN,702.5
1036,ACTA2,50.0
1037,PPP1R3C,595.5
1038,MYOF,876.0
1039,HELLS,885.5
1040,SORBS1,868.5
1041,ENTPD1,469.0
1042,PIK3AP1,567.0
1043,LCOR,531.0
1044,PGAM1,332.0
1045,ERLIN1,626.0
1046,BLOC1S2,791.0
1047,SCD,214.5
1048,HIF1AN,939.0
1049,DPCD,687.5
1050,OGA,813.0
1051,NFKB2,590.0
1052,TRIM8,628.5
1053,WBP1L,939.0
1054,SLK,636.5
1055,GSTO1,647.0
1056,MXI1,920.0
1057,SHOC2,677.0
1058,ACSL5,627.0
1059,VTI1A,550.0
1060,CASP7,779.0
1061,EIF3A,813.0
1062,DENND10,449.0
1063,CHST15,715.0
1064,ECHS1,316.0
1065,PGGHG,787.0
1066,IFITM2,863.5
1067,IFITM1,573.0
1068,IFITM3,505.0
1069,EPS8L2,732.0
1070,PNPLA2,803.5
1071,CD151,572.5
1072,CTSD,627.0
1073,LSP1,214.0
1074,CD81,531.5
1075,TSSC4,869.0
1076,SLC22A18,885.0
1077,NAP1L4,687.0
1078,TRIM21,810.0
1079,TRIM22,683.0
1080,CAVIN3,837.0
1081,ST5,777.0
1082,WEE1,676.0
1083,SWAP70,464.5
1084,ADM,160.0
1085,DKK3,507.0
1086,MICAL2,632.0
1087,TEAD1,876.0
1088,PIK3C2A,510.0
1089,SERGEF,843.0
1090,HTATIP2,904.0
1091,LGR4,493.0
1092,RCN1,669.0
1093,CD44,594.0
1094,COMMD9,919.0
1095,C11orf96,241.0
1096,TP53I11,574.0
1097,MDK,421.0
1098,ACP2,535.0
1099,SPI1,489.5
1100,MTCH2,218.0
1101,PTPRJ,857.0
1102,TNKS1BP1,774.5
1103,UBE2L6,442.0
1104,SERPING1,809.0
1105,CTNND1,578.0
1106,LPXN,681.0
1107,MPEG1,392.5
1108,MS4A6A,165.0
1109,MS4A4A,422.0
1110,MS4A7,338.0
1111,TMEM109,498.0
1112,SLC15A3,743.0
1113,CYB561A3,773.0
1114,FTH1,873.5
1115,AHNAK,618.0
1116,EEF1G,732.0
1117,POLR2G,566.0
1118,WDR74,875.0
1119,PLAAT4,412.5
1120,PLAAT3,453.0
1121,COX8A,397.5
1122,VEGFB,850.0
1123,TRMT112,681.0
1124,PRDX5,905.0
1125,CCDC88B,687.0
1126,RASGRP2,236.0
1127,SF1,714.0
1128,SYVN1,775.0
1129,CAPN1,734.0
1130,LTBP3,701.0
1131,EHBP1L1,571.0
1132,MAP3K11,907.0
1133,SIPA1,715.0
1134,CCDC85B,890.0
1135,SF3B2,570.0
1136,PACS1,702.0
1137,CD248,922.0
1138,C11orf80,859.0
1139,GRK2,754.5
1140,POLD4,469.0
1141,GSTP1,292.0
1142,NDUFV1,845.0
1143,UNC93B1,850.0
1144,TCIRG1,686.0
1145,PPP6R3,936.0
1146,TPCN2,933.0
1147,ANO1,535.0
1148,NUMA1,346.0
1149,CLPB,573.0
1150,ATG16L2,734.0
1151,FCHSD2,724.0
1152,UCP2,324.0
1153,SLCO2B1,601.5
1154,LRRC32,575.0
1155,GAB2,549.0
